trial	block	stimIndex	Condition	VstimCaption	ISIjitter
185	6	5	letter	z	331	
186	6	6	letter	letterTarget	249	
187	6	7	letter	g	366	
188	6	8	letter	t	214	
189	6	9	letter	m	269	
190	6	10	letter	p	199	
191	6	1	FFfamiliar	f	286	
192	6	2	FFfamiliar	d	214	
193	6	3	FFfamiliar	b	213	
194	6	4	FFfamiliar	c	331	
195	6	5	FFfamiliar	e	435	
196	6	7	FFfamiliar	a	199	
197	6	8	FFfamiliar	h	269	
198	6	9	FFfamiliar	g	249	
199	6	1	FFnew	d	286	
200	6	2	FFnew	FFnewTarget	214	
201	6	3	FFnew	g	269	
202	6	4	FFnew	a	435	
203	6	5	FFnew	b	249	
204	6	6	FFnew	c	331	
205	6	7	FFnew	h	178	
206	6	8	FFnew	e	199	
207	6	9	FFnew	f	213	
208	6	1	FFtrained	a	214	
209	6	2	FFtrained	b	178	
210	6	3	FFtrained	FFtrainedTarget	269	
211	6	4	FFtrained	h	213	
212	6	5	FFtrained	e	435	
213	6	6	FFtrained	g	249	
214	6	8	FFtrained	d	366	
215	6	9	FFtrained	c	331	
216	6	10	FFtrained	f	286	
217	7	1	letter	p	366	
218	7	2	letter	u	213	
219	7	3	letter	e	269	
220	7	5	letter	m	435	
221	7	6	letter	t	199	
222	7	7	letter	g	331	
223	7	8	letter	b	249	
224	7	10	letter	z	214	
225	7	1	FFfamiliar	b	269	
226	7	2	FFfamiliar	g	435	
227	7	3	FFfamiliar	c	214	
228	7	4	FFfamiliar	h	199	
229	7	5	FFfamiliar	a	331	
230	7	6	FFfamiliar	FFfamiliarTarget	213	
231	7	8	FFfamiliar	f	249	
232	7	9	FFfamiliar	e	286	
233	7	10	FFfamiliar	d	178	
234	7	1	FFnew	FFnewTarget	178	
235	7	2	FFnew	a	286	
236	7	3	FFnew	b	269	
237	7	4	FFnew	c	199	
238	7	5	FFnew	d	435	
239	7	7	FFnew	e	331	
240	7	8	FFnew	f	214	
241	7	9	FFnew	h	213	
242	7	10	FFnew	g	249	
243	7	1	FFtrained	g	435	
244	7	2	FFtrained	h	331	
245	7	3	FFtrained	d	366	
246	7	4	FFtrained	b	178	
247	7	5	FFtrained	e	199	
248	7	6	FFtrained	FFtrainedTarget	269	
249	7	7	FFtrained	a	249	
250	7	8	FFtrained	f	213	
251	7	9	FFtrained	c	286	
252	7	10	FFtrained	FFtrainedTarget	214	
253	8	1	letter	u	213	
