trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	FFfamiliar	g	321	
2	1	2	FFfamiliar	a	255	
3	1	3	FFfamiliar	b	151	
4	1	4	FFfamiliar	e	164	
5	1	5	FFfamiliar	h	199	
6	1	7	FFfamiliar	b	423	
7	1	8	FFfamiliar	g	207	
8	1	9	FFfamiliar	d	215	
9	1	10	FFfamiliar	d	257	
10	1	11	FFfamiliar	a	118	
11	1	12	FFfamiliar	c	408	
12	1	13	FFfamiliar	f	163	
13	1	14	FFfamiliar	c	190	
14	1	16	FFfamiliar	e	127	
15	1	17	FFfamiliar	f	472	
16	1	18	FFfamiliar	h	283	
17	1	1	FFnew	a	151	
18	1	2	FFnew	b	255	
19	1	3	FFnew	a	408	
20	1	4	FFnew	d	164	
21	1	5	FFnew	e	163	
22	1	6	FFnew	f	118	
23	1	7	FFnew	b	190	
24	1	8	FFnew	g	199	
25	1	9	FFnew	d	257	
26	1	11	FFnew	c	321	
27	1	12	FFnew	f	202	
28	1	13	FFnew	h	215	
29	1	14	FFnew	g	207	
30	1	15	FFnew	h	333	
31	1	16	FFnew	e	472	
32	1	17	FFnew	c	127	
33	1	1	FFtrained	l	257	
34	1	2	FFtrained	n	127	
35	1	3	FFtrained	m	321	
36	1	4	FFtrained	k	207	
37	1	5	FFtrained	l	333	
38	1	6	FFtrained	o	408	
39	1	7	FFtrained	i	283	
40	1	8	FFtrained	p	423	
41	1	9	FFtrained	k	118	
42	1	10	FFtrained	FFtrainedTarget	215	
43	1	12	FFtrained	i	255	
44	1	13	FFtrained	p	472	
45	1	14	FFtrained	m	151	
46	1	15	FFtrained	j	202	
47	1	16	FFtrained	n	190	
48	1	17	FFtrained	o	199	
49	1	18	FFtrained	j	164	
50	1	1	letter	t	190	
51	1	2	letter	m	423	
52	1	3	letter	p	283	
53	1	4	letter	e	333	
54	1	5	letter	u	321	
55	1	6	letter	g	215	
56	1	7	letter	letterTarget	472	
57	1	8	letter	b	151	
58	1	9	letter	b	207	
59	1	10	letter	e	199	
60	1	11	letter	z	202	
61	1	12	letter	p	163	
62	1	13	letter	z	408	
63	1	14	letter	u	164	
64	1	15	letter	s	118	
65	1	16	letter	t	257	
66	1	17	letter	m	255	
67	2	1	FFfamiliar	h	283	
68	2	2	FFfamiliar	h	151	
69	2	3	FFfamiliar	d	118	
70	2	4	FFfamiliar	c	408	
71	2	5	FFfamiliar	g	127	
72	2	6	FFfamiliar	f	321	
73	2	7	FFfamiliar	c	257	
74	2	8	FFfamiliar	a	163	
75	2	9	FFfamiliar	g	423	
76	2	10	FFfamiliar	b	202	
77	2	11	FFfamiliar	e	207	
78	2	12	FFfamiliar	e	215	
79	2	13	FFfamiliar	a	164	
80	2	14	FFfamiliar	FFfamiliarTarget	190	
81	2	15	FFfamiliar	f	199	
82	2	16	FFfamiliar	b	255	
83	2	17	FFfamiliar	FFfamiliarTarget	472	
84	2	18	FFfamiliar	d	333	
85	2	1	FFtrained	i	163	
86	2	2	FFtrained	m	423	
87	2	3	FFtrained	n	164	
88	2	4	FFtrained	k	190	
89	2	5	FFtrained	j	472	
90	2	6	FFtrained	o	207	
91	2	7	FFtrained	i	283	
92	2	8	FFtrained	j	118	
93	2	9	FFtrained	p	199	
94	2	10	FFtrained	FFtrainedTarget	333	
95	2	11	FFtrained	l	408	
96	2	12	FFtrained	m	321	
97	2	13	FFtrained	FFtrainedTarget	202	
98	2	14	FFtrained	n	127	
99	2	15	FFtrained	l	151	
100	2	16	FFtrained	k	255	
101	2	17	FFtrained	o	257	
102	2	18	FFtrained	p	215	
103	2	1	letter	m	472	
104	2	2	letter	letterTarget	321	
105	2	3	letter	b	164	
106	2	4	letter	e	190	
