trial	block	stimIndex	Condition	VstimCaption	ISIjitter
185	6	5	FFnew	b	213	
186	6	6	FFnew	g	286	
187	6	7	FFnew	a	366	
188	6	8	FFnew	e	214	
189	6	9	FFnew	h	199	
190	6	10	FFnew	d	435	
191	6	1	letter	g	269	
192	6	2	letter	b	178	
193	6	3	letter	t	331	
194	6	6	letter	m	214	
195	6	7	letter	z	286	
196	6	8	letter	p	366	
197	6	9	letter	e	213	
198	6	10	letter	u	199	
199	6	1	FFfamiliar	f	435	
200	6	2	FFfamiliar	a	331	
201	6	3	FFfamiliar	FFfamiliarTarget	286	
202	6	4	FFfamiliar	d	178	
203	6	5	FFfamiliar	h	214	
204	6	7	FFfamiliar	g	249	
205	6	8	FFfamiliar	e	269	
206	6	9	FFfamiliar	c	366	
207	6	10	FFfamiliar	b	213	
208	6	1	FFtrained	a	366	
209	6	2	FFtrained	d	178	
210	6	3	FFtrained	b	435	
211	6	4	FFtrained	f	286	
212	6	5	FFtrained	e	331	
213	6	6	FFtrained	c	213	
214	6	7	FFtrained	h	214	
215	6	8	FFtrained	g	269	
216	6	9	FFtrained	FFtrainedTarget	249	
217	7	1	FFnew	f	269	
218	7	2	FFnew	g	213	
219	7	4	FFnew	d	366	
220	7	5	FFnew	h	214	
221	7	6	FFnew	e	435	
222	7	8	FFnew	c	178	
223	7	9	FFnew	b	286	
224	7	10	FFnew	a	199	
225	7	1	letter	z	199	
226	7	2	letter	t	366	
227	7	3	letter	letterTarget	331	
228	7	4	letter	p	269	
229	7	5	letter	m	286	
230	7	7	letter	e	178	
231	7	8	letter	g	249	
232	7	9	letter	b	214	
233	7	10	letter	u	435	
234	7	1	FFfamiliar	g	331	
235	7	2	FFfamiliar	h	435	
236	7	3	FFfamiliar	a	366	
237	7	4	FFfamiliar	d	213	
238	7	5	FFfamiliar	FFfamiliarTarget	286	
239	7	6	FFfamiliar	b	249	
240	7	7	FFfamiliar	c	214	
241	7	8	FFfamiliar	e	199	
242	7	10	FFfamiliar	f	269	
243	7	1	FFtrained	h	366	
244	7	2	FFtrained	FFtrainedTarget	269	
245	7	3	FFtrained	d	331	
246	7	4	FFtrained	g	214	
247	7	5	FFtrained	c	213	
248	7	6	FFtrained	e	435	
249	7	7	FFtrained	b	178	
250	7	8	FFtrained	a	249	
251	7	9	FFtrained	f	286	
252	7	10	FFtrained	FFtrainedTarget	199	
253	8	1	FFnew	g	366	
254	8	2	FFnew	a	249	
255	8	3	FFnew	c	214	
256	8	4	FFnew	e	269	
257	8	5	FFnew	h	213	
258	8	6	FFnew	d	178	
259	8	7	FFnew	f	331	
260	8	8	FFnew	FFnewTarget	435	
261	8	10	FFnew	b	286	
262	8	1	letter	e	366	
263	8	2	letter	u	213	
264	8	3	letter	t	269	
265	8	4	letter	m	286	
266	8	5	letter	letterTarget	331	
267	8	7	letter	z	249	
268	8	8	letter	p	214	
269	8	9	letter	g	178	
270	8	10	letter	b	199	
271	8	1	FFfamiliar	FFfamiliarTarget	286	
272	8	2	FFfamiliar	c	214	
273	8	3	FFfamiliar	d	366	
274	8	4	FFfamiliar	b	331	
275	8	5	FFfamiliar	e	249	
276	8	6	FFfamiliar	h	269	
277	8	7	FFfamiliar	g	435	
278	8	8	FFfamiliar	FFfamiliarTarget	178	
279	8	9	FFfamiliar	f	199	
280	8	10	FFfamiliar	a	213	
281	8	1	FFtrained	d	214	
282	8	4	FFtrained	c	286	
283	8	5	FFtrained	g	178	
284	8	6	FFtrained	a	269	
285	8	7	FFtrained	h	249	
286	8	8	FFtrained	e	199	
287	8	9	FFtrained	f	435	
288	8	10	FFtrained	b	366	
