Scenario - 
Logfile written - 03/24/2021 14:13:01

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
cacahuete	87	Picture	50	711923	0	1	90185	1	0	next	other	0
cacahuete	88	Picture	90	802108	0	1	7041	1	0	7000	other	0
cacahuete	89	Picture	40	809316	0	1	2850	1	0	2690	other	0
cacahuete	90	Picture	90	812333	0	1	7040	1	0	7000	other	0
cacahuete	91	Picture	40	819541	0	1	1844	1	0	1780	other	0
cacahuete	92	Picture	90	821553	0	1	7040	1	0	7000	other	0
cacahuete	93	Picture	40	828761	0	1	4526	1	0	4350	other	0
cacahuete	94	Picture	90	833455	0	1	7040	1	0	7000	other	0
cacahuete	95	Picture	40	840663	0	1	2179	1	0	2140	other	0
cacahuete	96	Picture	90	843010	0	1	7040	1	0	7000	other	0
cacahuete	97	Picture	40	850218	0	1	3688	1	0	3660	other	0
cacahuete	98	Picture	90	854073	0	1	7040	1	0	7000	other	0
cacahuete	99	Picture	40	861281	0	1	3353	1	0	3310	other	0
cacahuete	100	Picture	90	864801	0	1	7040	1	0	7000	other	0
cacahuete	101	Picture	40	872010	0	1	3017	1	0	2860	other	0
cacahuete	102	Picture	95	875194	0	1	7040	1	0	7000	miss	0
cacahuete	103	Picture	40	882402	0	1	2515	1	0	2490	other	0
cacahuete	104	Picture	90	885085	0	1	7040	1	0	7000	other	0
cacahuete	105	Picture	40	892293	0	1	2179	1	0	2130	other	0
cacahuete	106	Picture	90	894640	0	1	7040	1	0	7000	other	0
cacahuete	107	Picture	40	901848	0	1	2012	1	0	1990	other	0
cacahuete	108	Picture	50	904027	0	1	90185	1	0	next	other	0
cacahuete	109	Picture	60	994212	0	1	7040	1	0	7000	other	0
cacahuete	110	Picture	40	1001420	0	1	2011	1	0	1990	other	0
cacahuete	111	Picture	60	1003599	0	1	7041	1	0	7000	other	0
cacahuete	112	Picture	40	1010807	0	1	29569	1	0	3660	other	0
cacahuete	112	Quit		1012080	1273	NA
