Scenario - 
Logfile written - 03/26/2021 14:28:36

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
GPL001	87	Picture	50	1372275	0	1	90192	1	0	next	other	0
GPL001	88	Picture	60	1462467	0	1	7129	1	0	7000	other	0
GPL001	89	Picture	40	1469762	0	1	4476	1	0	4350	other	0
GPL001	90	Picture	60	1474404	0	1	7129	1	0	7000	other	0
GPL001	91	Picture	40	1481699	0	1	1824	1	0	1780	other	0
GPL001	92	Picture	60	1483689	0	1	7129	1	0	7000	other	0
GPL001	93	Picture	40	1490983	0	1	2984	1	0	2860	other	0
GPL001	94	Picture	60	1494134	0	1	7129	1	0	7000	other	0
GPL001	95	Picture	40	1501428	0	1	3813	1	0	3660	other	0
GPL001	96	Picture	60	1505407	0	1	7129	1	0	7000	other	0
GPL001	97	Picture	40	1512702	0	1	3482	1	0	3310	other	0
GPL001	98	Picture	60	1516350	0	1	7129	1	0	7000	other	0
GPL001	99	Picture	40	1523645	0	1	2155	1	0	2140	other	0
GPL001	100	Picture	65	1525810	0	322	7118	323	0	7000	hit	107
GPL001	100	Response	25	1529275	3465	0
GPL001	101	Picture	40	1533095	0	1	2155	1	0	2130	other	0
GPL001	102	Picture	60	1535416	0	1	7129	1	0	7000	other	0
GPL001	103	Picture	40	1542711	0	1	2818	1	0	2690	other	0
GPL001	104	Picture	60	1545695	0	1	7129	1	0	7000	other	0
GPL001	105	Picture	40	1552990	0	1	2155	1	0	1990	other	0
GPL001	106	Picture	60	1555311	0	1	7129	1	0	7000	other	0
GPL001	107	Picture	40	1562606	0	1	2653	1	0	2490	other	0
GPL001	108	Picture	50	1565425	0	1	90192	1	0	next	other	0
GPL001	109	Picture	70	1655617	0	1	7129	1	0	7000	other	0
GPL001	110	Picture	40	1662912	0	1	2155	1	0	2130	other	0
GPL001	111	Picture	70	1665233	0	1	7129	1	0	7000	other	0
GPL001	112	Picture	40	1672528	0	1	2155	1	0	1990	other	0
GPL001	113	Picture	75	1674849	0	1	7129	1	0	7000	hit	121
GPL001	113	Response	25	1678085	3236	0
GPL001	114	Picture	40	1682144	0	1	2653	1	0	2490	other	0
GPL001	115	Picture	70	1684962	0	1	7129	1	0	7000	other	0
GPL001	116	Picture	40	1692257	0	1	2818	1	0	2690	other	0
GPL001	117	Picture	70	1695241	0	1	7129	1	0	7000	other	0
GPL001	118	Picture	40	1702536	0	1	3482	1	0	3310	other	0
GPL001	119	Picture	70	1706184	0	1	7129	1	0	7000	other	0
GPL001	120	Picture	40	1713479	0	1	4476	1	0	4350	other	0
GPL001	121	Picture	70	1718121	0	1	7129	1	0	7000	other	0
GPL001	122	Picture	40	1725416	0	1	1824	1	0	1780	other	0
GPL001	123	Picture	70	1727405	0	1	7129	1	0	7000	other	0
GPL001	124	Picture	40	1734700	0	1	2984	1	0	2860	other	0
GPL001	125	Picture	70	1737850	0	1	7129	1	0	7000	other	0
GPL001	126	Picture	40	1745145	0	1	2155	1	0	2140	other	0
GPL001	127	Picture	70	1747311	0	322	7119	322	0	7000	other	0
GPL001	128	Picture	40	1754596	0	1	3813	1	0	3660	other	0
GPL001	129	Picture	50	1758575	0	1	70131	1	0	next	other	0
GPL001	130	Picture	80	1828705	0	1	7129	1	0	7000	other	0
GPL001	131	Picture	40	1836000	0	1	4476	1	0	4350	other	0
GPL001	132	Picture	80	1840643	0	1	7129	1	0	7000	other	0
GPL001	133	Picture	40	1847938	0	1	1824	1	0	1780	other	0
GPL001	134	Picture	80	1849927	0	1	7129	1	0	7000	other	0
GPL001	135	Picture	40	1857222	0	1	2984	1	0	2860	other	0
GPL001	136	Picture	85	1860372	0	1	7129	1	0	7000	hit	145
GPL001	136	Response	25	1863376	3003	0
GPL001	137	Picture	40	1867667	0	1	2155	1	0	2130	other	0
GPL001	138	Picture	80	1869988	0	1	7129	1	0	7000	other	0
GPL001	139	Picture	40	1877283	0	1	2653	1	0	2490	other	0
GPL001	140	Picture	80	1880101	0	1	7130	2	0	7000	other	0
GPL001	141	Picture	40	1887396	0	1	3482	1	0	3310	other	0
GPL001	142	Picture	85	1891044	0	1	7129	1	0	7000	hit	152
GPL001	142	Response	25	1894925	3881	0
GPL001	143	Picture	40	1898339	0	1	2155	1	0	1990	other	0
GPL001	144	Picture	80	1900660	0	1	7129	1	0	7000	other	0
GPL001	145	Picture	40	1907955	0	1	3813	1	0	3660	other	0
GPL001	146	Picture	80	1911934	0	1	7129	1	0	7000	other	0
GPL001	147	Picture	40	1919229	0	1	2818	1	0	2690	other	0
GPL001	148	Picture	80	1922213	0	1	7129	1	0	7000	other	0
GPL001	149	Picture	40	1929508	0	1	2155	1	0	2140	other	0
GPL001	150	Picture	50	1931673	0	322	50060	322	0	next	other	0
GPL001	151	Picture	90	1981733	0	1	7129	1	0	7000	other	0
GPL001	152	Picture	40	1989028	0	1	1824	1	0	1780	other	0
GPL001	153	Picture	90	1991018	0	1	7129	1	0	7000	other	0
GPL001	154	Picture	40	1998312	0	1	3482	1	0	3310	other	0
GPL001	155	Picture	90	2001960	0	1	7129	1	0	7000	other	0
GPL001	156	Picture	40	2009255	0	1	2819	1	0	2690	other	0
GPL001	157	Picture	90	2012239	0	1	7129	1	0	7000	other	0
GPL001	158	Picture	40	2019534	0	1	2984	1	0	2860	other	0
GPL001	159	Picture	90	2022684	0	1	7129	1	0	7000	other	0
GPL001	160	Picture	40	2029979	0	1	3813	1	0	3660	other	0
GPL001	161	Picture	90	2033958	0	1	7129	1	0	7000	other	0
GPL001	162	Picture	40	2041253	0	1	2155	1	0	2130	other	0
GPL001	163	Picture	90	2043574	0	1	7129	1	0	7000	other	0
GPL001	164	Picture	40	2050869	0	1	2155	1	0	1990	other	0
GPL001	165	Picture	90	2053190	0	1	7129	1	0	7000	other	0
GPL001	166	Picture	40	2060485	0	1	4476	1	0	4350	other	0
GPL001	167	Picture	90	2065127	0	1	7129	1	0	7000	other	0
GPL001	168	Picture	40	2072422	0	1	2155	1	0	2140	other	0
GPL001	169	Picture	90	2074588	0	322	7119	322	0	7000	other	0
GPL001	170	Picture	40	2081873	0	1	2653	1	0	2490	other	0
GPL001	171	Picture	50	2084691	0	1	30175	1	0	next	other	0
GPL001	172	Picture	60	2114866	0	1	7129	1	0	7000	other	0
GPL001	173	Picture	40	2122160	0	1	3482	1	0	3310	other	0
GPL001	174	Picture	60	2125808	0	1	7129	1	0	7000	other	0
GPL001	175	Picture	40	2133103	0	1	2155	1	0	2140	other	0
GPL001	176	Picture	60	2135268	0	322	7119	322	0	7000	other	0
GPL001	177	Picture	40	2142553	0	1	4476	1	0	4350	other	0
GPL001	178	Picture	60	2147195	0	1	7129	1	0	7000	other	0
GPL001	179	Picture	40	2154490	0	1	2155	1	0	1990	other	0
GPL001	180	Picture	60	2156811	0	1	7129	1	0	7000	other	0
GPL001	181	Picture	40	2164106	0	1	2984	1	0	2860	other	0
GPL001	182	Picture	60	2167256	0	1	7129	1	0	7000	other	0
GPL001	183	Picture	40	2174551	0	1	2818	1	0	2690	other	0
GPL001	184	Picture	60	2177536	0	1	7129	1	0	7000	other	0
GPL001	185	Picture	40	2184831	0	1	2155	1	0	2130	other	0
GPL001	186	Picture	60	2187152	0	1	7129	1	0	7000	other	0
GPL001	187	Picture	40	2194447	0	1	2653	1	0	2490	other	0
GPL001	188	Picture	60	2197265	0	1	7129	1	0	7000	other	0
GPL001	189	Picture	40	2204560	0	1	1824	1	0	1780	other	0
GPL001	190	Picture	65	2206550	0	1	7129	1	0	7000	hit	201
GPL001	190	Response	25	2209757	3207	0
GPL001	191	Picture	40	2213844	0	1	3813	1	0	3660	other	0
GPL001	192	Picture	50	2217823	0	1	70131	1	0	next	other	0
GPL001	193	Picture	70	2287954	0	1	7129	1	0	7000	other	0
GPL001	194	Picture	40	2295249	0	1	2155	1	0	1990	other	0
GPL001	195	Picture	70	2297570	0	1	7129	1	0	7000	other	0
GPL001	196	Picture	40	2304865	0	1	1824	1	0	1780	other	0
GPL001	197	Picture	70	2306855	0	1	7129	1	0	7000	other	0
GPL001	198	Picture	40	2314150	0	1	3813	1	0	3660	other	0
GPL001	199	Picture	75	2318129	0	1	7129	1	0	7000	hit	211
GPL001	199	Response	25	2321637	3508	0
GPL001	200	Picture	40	2325424	0	1	3482	1	0	3310	other	0
GPL001	201	Picture	70	2329071	0	1	7129	1	0	7000	other	0
GPL001	202	Picture	40	2336366	0	1	2155	1	0	2140	other	0
GPL001	203	Picture	75	2338531	0	322	7119	322	0	7000	hit	216
GPL001	203	Response	25	2342466	3935	0
GPL001	204	Picture	40	2345816	0	1	4476	1	0	4350	other	0
GPL001	205	Picture	70	2350459	0	1	7129	1	0	7000	other	0
GPL001	206	Picture	40	2357753	0	1	2819	1	0	2690	other	0
GPL001	207	Picture	70	2360738	0	1	7129	1	0	7000	other	0
GPL001	208	Picture	40	2368033	0	1	2653	1	0	2490	other	0
GPL001	209	Picture	70	2370851	0	1	7129	1	0	7000	other	0
GPL001	210	Picture	40	2378146	0	1	2984	1	0	2860	other	0
GPL001	211	Picture	70	2381296	0	1	7129	1	0	7000	other	0
GPL001	212	Picture	40	2388591	0	1	2130	192	0	2130	other	0
GPL001	213	Picture	50	2391078	0	1	30175	1	0	next	other	0
GPL001	214	Picture	80	2421252	0	1	7129	1	0	7000	other	0
GPL001	215	Picture	40	2428547	0	1	2818	1	0	2690	other	0
GPL001	216	Picture	80	2431532	0	1	7129	1	0	7000	other	0
GPL001	217	Picture	40	2438827	0	1	2653	1	0	2490	other	0
GPL001	218	Picture	80	2441645	0	1	7129	1	0	7000	other	0
GPL001	219	Picture	40	2448940	0	1	1824	1	0	1780	other	0
GPL001	220	Picture	80	2450930	0	1	7129	1	0	7000	other	0
GPL001	221	Picture	40	2458224	0	1	2155	1	0	1990	other	0
GPL001	222	Picture	80	2460546	0	1	7129	1	0	7000	other	0
GPL001	223	Picture	40	2467841	0	1	2155	1	0	2140	other	0
GPL001	224	Picture	80	2470006	0	322	7119	322	0	7000	other	0
GPL001	225	Picture	40	2477291	0	1	2155	1	0	2130	other	0
GPL001	226	Picture	80	2479612	0	1	7129	1	0	7000	other	0
GPL001	227	Picture	40	2486907	0	1	4476	1	0	4350	other	0
GPL001	228	Picture	80	2491549	0	1	7129	1	0	7000	other	0
GPL001	229	Picture	40	2498844	0	1	3813	1	0	3660	other	0
GPL001	230	Picture	80	2502823	0	1	7129	1	0	7000	other	0
GPL001	231	Picture	40	2510118	0	1	2984	1	0	2860	other	0
GPL001	232	Picture	80	2513268	0	1	7129	1	0	7000	other	0
GPL001	233	Picture	40	2520563	0	1	3482	1	0	3310	other	0
GPL001	234	Picture	50	2524210	0	1	90192	1	0	next	other	0
GPL001	235	Picture	90	2614402	0	1	7129	1	0	7000	other	0
GPL001	236	Picture	40	2621697	0	1	3813	1	0	3660	other	0
GPL001	237	Picture	90	2625676	0	1	7129	1	0	7000	other	0
GPL001	238	Picture	40	2632971	0	1	2155	1	0	2130	other	0
GPL001	239	Picture	90	2635292	0	1	7129	1	0	7000	other	0
GPL001	240	Picture	40	2642587	0	1	2818	1	0	2690	other	0
GPL001	241	Picture	90	2645571	0	1	7129	1	0	7000	other	0
GPL001	242	Picture	40	2652866	0	1	2155	1	0	1990	other	0
GPL001	243	Picture	90	2655188	0	1	7129	1	0	7000	other	0
GPL001	244	Picture	40	2662482	0	1	2653	1	0	2490	other	0
GPL001	245	Picture	90	2665301	0	1	7129	1	0	7000	other	0
GPL001	246	Picture	40	2672596	0	1	1824	1	0	1780	other	0
GPL001	247	Picture	90	2674585	0	1	7129	1	0	7000	other	0
GPL001	248	Picture	40	2681880	0	1	2984	1	0	2860	other	0
GPL001	249	Picture	90	2685030	0	1	7129	1	0	7000	other	0
GPL001	250	Picture	40	2692325	0	1	3482	1	0	3310	other	0
GPL001	251	Picture	95	2695973	0	1	7129	1	0	7000	hit	265
GPL001	251	Response	25	2699537	3564	0
GPL001	252	Picture	40	2703268	0	1	2155	1	0	2140	other	0
GPL001	253	Picture	90	2705433	0	322	7119	322	0	7000	other	0
GPL001	254	Picture	40	2712718	0	1	4476	1	0	4350	other	0
GPL001	255	Picture	50	2717360	0	1	50070	1	0	next	other	0
GPL001	256	Picture	60	2767430	0	1	7129	1	0	7000	other	0
GPL001	257	Picture	40	2774725	0	1	2155	1	0	2130	other	0
GPL001	258	Picture	60	2777046	0	1	7129	1	0	7000	other	0
GPL001	259	Picture	40	2784341	0	1	2653	1	0	2490	other	0
GPL001	260	Picture	60	2787159	0	1	7129	1	0	7000	other	0
GPL001	261	Picture	40	2794454	0	1	2819	1	0	2690	other	0
GPL001	262	Picture	65	2797439	0	1	7129	1	0	7000	hit	277
GPL001	262	Response	25	2800657	3219	0
GPL001	263	Picture	40	2804734	0	1	3813	1	0	3660	other	0
GPL001	264	Picture	60	2808713	0	1	7129	1	0	7000	other	0
GPL001	265	Picture	40	2816008	0	1	2984	1	0	2860	other	0
GPL001	266	Picture	60	2819158	0	1	7129	1	0	7000	other	0
GPL001	267	Picture	40	2826453	0	1	4476	1	0	4350	other	0
GPL001	268	Picture	65	2831095	0	1	7129	1	0	7000	hit	284
GPL001	268	Response	25	2834377	3282	0
GPL001	269	Picture	40	2838390	0	1	3482	1	0	3310	other	0
GPL001	270	Picture	60	2842037	0	1	7129	1	0	7000	other	0
GPL001	271	Picture	40	2849332	0	1	2155	1	0	1990	other	0
GPL001	272	Picture	60	2851653	0	1	7129	1	0	7000	other	0
GPL001	273	Picture	40	2858948	0	1	1824	1	0	1780	other	0
GPL001	274	Picture	60	2860938	0	1	7129	1	0	7000	other	0
GPL001	275	Picture	40	2868233	0	1	2155	1	0	2140	other	0
GPL001	276	Picture	50	2870554	0	1	50070	1	0	next	other	0
GPL001	277	Picture	70	2920623	0	1	7129	1	0	7000	other	0
GPL001	278	Picture	40	2927918	0	1	2155	1	0	1990	other	0
GPL001	279	Picture	70	2930239	0	1	7129	1	0	7000	other	0
GPL001	280	Picture	40	2937534	0	1	3482	1	0	3310	other	0
GPL001	281	Picture	70	2941182	0	1	7129	1	0	7000	other	0
GPL001	282	Picture	40	2948477	0	1	1824	1	0	1780	other	0
GPL001	283	Picture	70	2950466	0	1	7129	1	0	7000	other	0
GPL001	284	Picture	40	2957761	0	1	2984	1	0	2860	other	0
GPL001	285	Picture	70	2960911	0	1	7129	1	0	7000	other	0
GPL001	286	Picture	40	2968206	0	1	2155	1	0	2130	other	0
GPL001	287	Picture	70	2970527	0	1	7129	1	0	7000	other	0
GPL001	288	Picture	40	2977822	0	1	4476	1	0	4350	other	0
GPL001	289	Picture	70	2982465	0	1	7129	1	0	7000	other	0
GPL001	290	Picture	40	2989759	0	1	2819	1	0	2690	other	0
GPL001	291	Picture	70	2992744	0	1	7129	1	0	7000	other	0
GPL001	292	Picture	40	3000039	0	1	2155	1	0	2140	other	0
GPL001	293	Picture	70	3002204	0	322	7119	322	0	7000	other	0
GPL001	294	Picture	40	3009489	0	1	3813	1	0	3660	other	0
GPL001	295	Picture	70	3013468	0	1	7129	1	0	7000	other	0
GPL001	296	Picture	40	3020763	0	1	2653	1	0	2490	other	0
GPL001	297	Picture	50	3023581	0	1	90192	1	0	next	other	0
GPL001	298	Picture	80	3113773	0	1	7129	1	0	7000	other	0
GPL001	299	Picture	40	3121068	0	1	2818	1	0	2690	other	0
GPL001	300	Picture	80	3124052	0	1	7129	1	0	7000	other	0
GPL001	301	Picture	40	3131347	0	1	2984	1	0	2860	other	0
GPL001	302	Picture	80	3134497	0	1	7129	1	0	7000	other	0
GPL001	303	Picture	40	3141792	0	1	4476	1	0	4350	other	0
GPL001	304	Picture	80	3146435	0	1	7129	1	0	7000	other	0
GPL001	305	Picture	40	3153730	0	1	2155	1	0	2140	other	0
GPL001	306	Picture	80	3155895	0	322	7119	322	0	7000	other	0
GPL001	307	Picture	40	3163180	0	1	2653	1	0	2490	other	0
GPL001	308	Picture	80	3165998	0	1	7129	1	0	7000	other	0
GPL001	309	Picture	40	3173293	0	1	3813	1	0	3660	other	0
GPL001	310	Picture	85	3177272	0	1	7129	1	0	7000	hit	327
GPL001	310	Response	25	3180968	3696	0
GPL001	311	Picture	40	3184567	0	1	2155	1	0	1990	other	0
GPL001	312	Picture	80	3186888	0	1	7129	1	0	7000	other	0
GPL001	313	Picture	40	3194183	0	1	3482	1	0	3310	other	0
GPL001	314	Picture	80	3197831	0	1	7129	1	0	7000	other	0
GPL001	315	Picture	40	3205126	0	1	2155	1	0	2130	other	0
GPL001	316	Picture	80	3207447	0	1	7129	1	0	7000	other	0
GPL001	317	Picture	40	3214742	0	1	1824	1	0	1780	other	0
GPL001	318	Picture	50	3216731	0	1	30174	1	0	next	other	0
GPL001	319	Picture	90	3246906	0	1	7129	1	0	7000	other	0
GPL001	320	Picture	40	3254201	0	1	4476	1	0	4350	other	0
GPL001	321	Picture	90	3258843	0	1	7129	1	0	7000	other	0
GPL001	322	Picture	40	3266138	0	1	2818	1	0	2690	other	0
GPL001	323	Picture	90	3269122	0	1	7129	1	0	7000	other	0
GPL001	324	Picture	40	3276417	0	1	2155	1	0	1990	other	0
GPL001	325	Picture	90	3278738	0	1	7129	1	0	7000	other	0
GPL001	326	Picture	40	3286033	0	1	2653	1	0	2490	other	0
GPL001	327	Picture	90	3288851	0	1	7129	1	0	7000	other	0
GPL001	328	Picture	40	3296146	0	1	3813	1	0	3660	other	0
GPL001	329	Picture	90	3300126	0	1	7129	1	0	7000	other	0
GPL001	330	Picture	40	3307420	0	1	3482	1	0	3310	other	0
GPL001	331	Picture	90	3311068	0	1	7129	1	0	7000	other	0
GPL001	332	Picture	40	3318363	0	1	2155	1	0	2130	other	0
GPL001	333	Picture	95	3320684	0	1	7129	1	0	7000	hit	351
GPL001	333	Response	25	3323959	3275	0
GPL001	334	Picture	40	3327979	0	1	2984	1	0	2860	other	0
GPL001	335	Picture	90	3331129	0	1	7129	1	0	7000	other	0
GPL001	336	Picture	40	3338424	0	1	2155	1	0	2140	other	0
GPL001	337	Picture	90	3340589	0	322	7119	322	0	7000	other	0
GPL001	338	Picture	40	3347874	0	1	1824	1	0	1780	other	0
GPL001	339	Picture	50	3349864	0	1	70131	1	0	next	other	0
GPL001	340	Picture	60	3419994	0	1	7129	1	0	7000	other	0
GPL001	341	Picture	40	3427289	0	1	1824	1	0	1780	other	0
GPL001	342	Picture	60	3429279	0	1	7129	1	0	7000	other	0
GPL001	343	Picture	40	3436574	0	1	2984	1	0	2860	other	0
GPL001	344	Picture	60	3439724	0	1	7129	1	0	7000	other	0
GPL001	345	Picture	40	3447019	0	1	2155	1	0	2140	other	0
GPL001	346	Picture	60	3449184	0	322	7119	322	0	7000	other	0
GPL001	347	Picture	40	3456469	0	1	4476	1	0	4350	other	0
GPL001	348	Picture	60	3461111	0	1	7129	1	0	7000	other	0
GPL001	349	Picture	40	3468406	0	1	2155	1	0	1990	other	0
GPL001	350	Picture	65	3470727	0	1	7129	1	0	7000	hit	369
GPL001	350	Response	25	3474038	3311	0
GPL001	351	Picture	40	3478022	0	1	2155	1	0	2130	other	0
GPL001	352	Picture	60	3480343	0	1	7129	1	0	7000	other	0
GPL001	353	Picture	40	3487638	0	1	2819	1	0	2690	other	0
GPL001	354	Picture	60	3490623	0	1	7129	1	0	7000	other	0
GPL001	355	Picture	40	3497918	0	1	2653	1	0	2490	other	0
GPL001	356	Picture	60	3500736	0	1	7129	1	0	7000	other	0
GPL001	357	Picture	40	3508030	0	1	3482	2	0	3310	other	0
GPL001	358	Picture	60	3511678	0	1	7129	1	0	7000	other	0
GPL001	359	Picture	40	3518973	0	1	3813	2	0	3660	other	0
GPL001	360	Picture	50	3522952	0	1	90192	1	0	next	other	0
GPL001	361	Picture	70	3613144	0	1	7129	1	0	7000	other	0
GPL001	362	Picture	40	3620439	0	1	2155	1	0	2140	other	0
GPL001	363	Picture	70	3622605	0	156	7119	157	0	7000	other	0
GPL001	364	Picture	40	3629889	0	1	2818	1	0	2690	other	0
GPL001	365	Picture	70	3632874	0	1	7129	1	0	7000	other	0
GPL001	366	Picture	40	3640169	0	1	2984	1	0	2860	other	0
GPL001	367	Picture	70	3643319	0	1	7129	1	0	7000	other	0
GPL001	368	Picture	40	3650614	0	1	1824	1	0	1780	other	0
GPL001	369	Picture	75	3652603	0	1	7129	1	0	7000	hit	389
GPL001	369	Response	25	3656179	3575	0
GPL001	370	Picture	40	3659898	0	1	2155	1	0	2130	other	0
GPL001	371	Picture	70	3662219	0	1	7129	1	0	7000	other	0
GPL001	372	Picture	40	3669514	0	1	4476	1	0	4350	other	0
GPL001	373	Picture	75	3674156	0	1	7129	1	0	7000	hit	394
GPL001	373	Response	25	3677509	3353	0
GPL001	374	Picture	40	3681451	0	1	2653	1	0	2490	other	0
GPL001	375	Picture	70	3684270	0	1	7129	1	0	7000	other	0
GPL001	376	Picture	40	3691565	0	1	3482	1	0	3310	other	0
GPL001	377	Picture	70	3695212	0	1	7129	1	0	7000	other	0
GPL001	378	Picture	40	3702507	0	1	2155	1	0	1990	other	0
GPL001	379	Picture	70	3704828	0	1	7129	1	0	7000	other	0
GPL001	380	Picture	40	3712123	0	1	3813	1	0	3660	other	0
GPL001	381	Picture	50	3716102	0	1	30174	1	0	next	other	0
GPL001	382	Picture	80	3746277	0	1	7129	1	0	7000	other	0
GPL001	383	Picture	40	3753572	0	1	3482	1	0	3310	other	0
