trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFnew	u	366	5032	
2	1	2	FFnew	f	331	6156	
3	1	3	FFnew	l	286	7250	
4	1	4	FFnew	p	199	8294	
5	1	5	FFnew	h	178	9256	
6	1	6	FFnew	t	249	10184	
7	1	7	FFnew	t	213	11196	
8	1	8	FFnew	q	435	12158	
9	1	9	FFnew	c	214	13351	
10	1	10	FFnew	j	269	14313	
11	1	1	letter	a	269	18344	
12	1	2	letter	t	331	19369	
13	1	3	letter	e	286	20464	
14	1	4	letter	z	213	21508	
15	1	5	letter	u	178	22470	
16	1	6	letter	b	249	23398	
17	1	7	letter	m	366	24410	
18	1	8	letter	g	214	25537	
19	1	9	letter	p	199	26499	
20	1	10	letter	LetterTarget	435	27443	
21	1	1	FFfamiliar	d	269	33665	
22	1	2	FFfamiliar	h	249	34689	
23	1	3	FFfamiliar	b	199	35700	
24	1	4	FFfamiliar	g	435	36662	
25	1	5	FFfamiliar	c	178	37855	
26	1	6	FFfamiliar	e	286	38784	
27	1	7	FFfamiliar	j	213	39828	
28	1	8	FFfamiliar	FFfamiliarTarget	214	40790	
29	1	9	FFfamiliar	a	366	41752	
30	1	10	FFfamiliar	i	331	42879	
31	1	1	FFtrained	I	269	51007	
32	1	2	FFtrained	R	286	52031	
33	1	3	FFtrained	FFtrainedTarget	213	53075	
34	1	4	FFtrained	E	214	54037	
35	1	5	FFtrained	A	331	54999	
36	1	6	FFtrained	V	366	56076	
37	1	7	FFtrained	®	249	57203	
38	1	8	FFtrained	0	178	58215	
39	1	9	FFtrained	FFtrainedTarget	435	59143	
40	1	10	FFtrained	N	199	60337	
41	2	1	FFnew	t	199	70317	
42	2	2	FFnew	f	214	71279	
43	2	3	FFnew	l	269	72241	
44	2	4	FFnew	c	213	73252	
45	2	5	FFnew	j	435	74214	
46	2	6	FFnew	h	249	75407	
47	2	7	FFnew	q	178	76419	
48	2	8	FFnew	t	286	77347	
49	2	9	FFnew	FFnewTarget	331	78392	
50	2	10	FFnew	u	366	79486	
51	2	1	letter	e	435	89632	
52	2	2	letter	b	213	90826	
53	2	3	letter	LetterTarget	286	91788	
54	2	4	letter	u	199	92832	
55	2	5	letter	r	269	93794	
56	2	6	letter	a	331	94822	
57	2	7	letter	m	178	95916	
58	2	8	letter	g	366	96844	
59	2	9	letter	z	214	97972	
60	2	10	letter	p	249	98933	
61	2	1	FFfamiliar	e	178	106963	
62	2	2	FFfamiliar	c	249	107886	
63	2	3	FFfamiliar	g	366	108898	
64	2	4	FFfamiliar	FFfamiliarTarget	331	110025	
65	2	5	FFfamiliar	h	213	111119	
66	2	6	FFfamiliar	i	435	112081	
67	2	7	FFfamiliar	FFfamiliarTarget	286	113275	
68	2	8	FFfamiliar	b	214	114319	
69	2	9	FFfamiliar	a	269	115281	
70	2	10	FFfamiliar	d	199	116309	
71	2	1	FFtrained	A	214	122289	
72	2	2	FFtrained	3	199	123239	
73	2	3	FFtrained	V	286	124184	
74	2	4	FFtrained	®	331	125228	
75	2	5	FFtrained	N	249	126323	
76	2	6	FFtrained	:	178	127334	
77	2	7	FFtrained	0	435	128262	
78	2	8	FFtrained	E	366	129456	
79	2	9	FFtrained	I	213	130583	
80	2	10	FFtrained	R	269	131545	
81	3	1	FFnew	u	269	135591	
82	3	2	FFnew	j	178	136618	
