block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file

RL

2	169	4	3	2	I	1	0	1039	1	Ⴂ	cut_ei.wav
2	170	3	4	2	I	1	0	1448	0	Ⴁ	cut_oei.wav
2	171	2	1	0	C	2	1	1569	1	Ⴥ	cut_j.wav
2	172	1	2	0	C	2	1	899	1	Ⴃ	cut_f.wav
2	173	2	2	1	C	1	1	1057	1	Ⴥ	cut_f.wav
2	174	1	1	1	C	1	1	931	1	Ⴃ	cut_j.wav
2	175	3	3	2	I	2	0	1083	1	Ⴁ	cut_ei.wav
2	176	4	4	2	I	1	0	1376	0	Ⴂ	cut_oei.wav
2	177	2	1	0	C	2	1	1130	1	Ⴥ	cut_j.wav
2	178	1	1	1	C	1	1	851	1	Ⴃ	cut_j.wav
2	179	4	4	2	I	2	0	1690	0	Ⴂ	cut_oei.wav
2	180	3	4	2	I	1	0	1415	1	Ⴁ	cut_oei.wav
2	181	4	3	2	I	1	0	1159	1	Ⴂ	cut_ei.wav
2	182	2	2	1	C	1	1	765	1	Ⴥ	cut_f.wav
2	183	3	3	2	I	2	0	878	0	Ⴁ	cut_ei.wav
2	184	1	2	0	C	2	1	1184	1	Ⴃ	cut_f.wav
2	185	2	2	1	C	1	1	828	1	Ⴥ	cut_f.wav
2	186	4	4	2	I	2	0	1166	1	Ⴂ	cut_oei.wav
2	187	1	2	0	C	2	1	1146	1	Ⴃ	cut_f.wav
2	188	3	4	2	I	1	0	1523	0	Ⴁ	cut_oei.wav
2	189	1	1	1	C	1	1	957	1	Ⴃ	cut_j.wav
2	190	4	3	2	I	1	0	1275	1	Ⴂ	cut_ei.wav
2	191	3	3	2	I	1	0	1299	0	Ⴁ	cut_ei.wav
2	192	2	1	0	C	2	1	1350	1	Ⴥ	cut_j.wav
2	193	4	4	2	I	1	0	985	0	Ⴂ	cut_oei.wav
2	194	3	4	2	I	1	0	884	0	Ⴁ	cut_oei.wav
2	195	2	1	0	C	2	1	1560	1	Ⴥ	cut_j.wav
2	196	1	1	1	C	1	1	975	1	Ⴃ	cut_j.wav
2	197	4	3	2	I	1	0	1083	1	Ⴂ	cut_ei.wav
2	198	3	3	2	I	1	0	974	1	Ⴁ	cut_ei.wav
2	199	1	2	0	C	2	1	1663	1	Ⴃ	cut_f.wav
2	200	2	2	1	C	1	1	850	1	Ⴥ	cut_f.wav
