block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file

LR

1	58	1	2	0	C	1	1	1147	1	Ⴜ	cut_ei.wav
1	59	4	3	2	I	0	0	0	0	Ⴊ	cut_r.wav
1	60	2	2	1	C	2	1	869	1	Ⴞ	cut_ei.wav
1	61	4	4	2	I	1	0	839	0	Ⴊ	cut_n.wav
1	62	3	3	2	I	1	0	758	0	Ⴢ	cut_r.wav
1	63	2	1	0	C	2	0	663	0	Ⴞ	cut_s.wav
1	64	1	1	1	C	1	0	791	0	Ⴜ	cut_s.wav
1	65	4	4	2	I	1	0	1677	1	Ⴊ	cut_n.wav
1	66	3	4	2	I	1	0	794	1	Ⴢ	cut_n.wav
1	67	2	2	1	C	2	1	691	1	Ⴞ	cut_ei.wav
1	68	1	1	1	C	2	1	799	1	Ⴜ	cut_s.wav
1	69	3	3	2	I	2	0	776	1	Ⴢ	cut_r.wav
1	70	2	1	0	C	1	1	846	1	Ⴞ	cut_s.wav
1	71	1	2	0	C	1	1	760	1	Ⴜ	cut_ei.wav
1	72	4	3	2	I	1	0	779	0	Ⴊ	cut_r.wav
1	73	2	2	1	C	2	1	559	1	Ⴞ	cut_ei.wav
1	74	1	1	1	C	1	0	532	0	Ⴜ	cut_s.wav
1	75	3	3	2	I	2	0	570	1	Ⴢ	cut_r.wav
1	76	4	3	2	I	1	0	776	1	Ⴊ	cut_r.wav
1	77	2	1	0	C	2	0	548	0	Ⴞ	cut_s.wav
1	78	4	4	2	I	1	0	768	1	Ⴊ	cut_n.wav
1	79	3	4	2	I	1	0	635	1	Ⴢ	cut_n.wav
1	80	1	2	0	C	1	1	548	1	Ⴜ	cut_ei.wav
1	81	2	1	0	C	1	1	895	1	Ⴞ	cut_s.wav
1	82	3	4	2	I	1	0	708	1	Ⴢ	cut_n.wav
1	83	1	2	0	C	1	1	1040	1	Ⴜ	cut_ei.wav
1	84	4	3	2	I	1	0	928	0	Ⴊ	cut_r.wav
1	85	2	2	1	C	2	1	685	1	Ⴞ	cut_ei.wav
1	86	1	1	1	C	1	0	759	0	Ⴜ	cut_s.wav
1	87	4	4	2	I	1	0	789	1	Ⴊ	cut_n.wav
1	88	3	3	2	I	1	0	900	1	Ⴢ	cut_r.wav
1	89	2	1	0	C	2	0	632	0	Ⴞ	cut_s.wav
