block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
LR

1	89	3	4	2	I	2	0	1001	0	Ⴔ	cut_ei_stereo_44KHz.wav
1	90	4	3	2	I	2	0	1138	0	Ⴉ	cut_s_stereo_44KHz.wav
1	91	1	2	0	C	1	1	1015	1	Ⴐ	cut_f_stereo_44KHz.wav
1	92	2	1	0	C	1	1	939	1	Ⴖ	cut_j_stereo_44KHz.wav
1	93	1	1	1	C	2	1	995	1	Ⴐ	cut_j_stereo_44KHz.wav
1	94	3	3	2	I	1	0	1293	0	Ⴔ	cut_s_stereo_44KHz.wav
1	95	4	4	2	I	1	0	909	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	96	2	2	1	C	1	0	992	0	Ⴖ	cut_f_stereo_44KHz.wav
1	97	1	1	1	C	2	1	884	1	Ⴐ	cut_j_stereo_44KHz.wav
1	98	4	3	2	I	1	0	1126	0	Ⴉ	cut_s_stereo_44KHz.wav
1	99	2	1	0	C	1	1	1257	1	Ⴖ	cut_j_stereo_44KHz.wav
1	100	3	3	2	I	2	0	1209	1	Ⴔ	cut_s_stereo_44KHz.wav
1	101	4	4	2	I	1	0	816	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	102	1	2	0	C	1	1	1118	1	Ⴐ	cut_f_stereo_44KHz.wav
1	103	2	2	1	C	2	1	807	1	Ⴖ	cut_f_stereo_44KHz.wav
1	104	3	4	2	I	1	0	1389	0	Ⴔ	cut_ei_stereo_44KHz.wav
1	105	1	1	1	C	2	1	877	1	Ⴐ	cut_j_stereo_44KHz.wav
1	106	2	2	1	C	1	0	972	0	Ⴖ	cut_f_stereo_44KHz.wav
1	107	4	3	2	I	2	0	984	1	Ⴉ	cut_s_stereo_44KHz.wav
1	108	3	4	2	I	1	0	1050	1	Ⴔ	cut_ei_stereo_44KHz.wav
1	109	1	2	0	C	1	1	1181	1	Ⴐ	cut_f_stereo_44KHz.wav
1	110	4	4	2	I	1	0	1313	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	111	2	1	0	C	1	1	967	1	Ⴖ	cut_j_stereo_44KHz.wav
1	112	3	3	2	I	1	0	1470	0	Ⴔ	cut_s_stereo_44KHz.wav
1	113	4	3	2	I	2	0	914	0	Ⴉ	cut_s_stereo_44KHz.wav
1	114	2	2	1	C	2	1	1181	1	Ⴖ	cut_f_stereo_44KHz.wav
1	115	1	1	1	C	2	1	757	1	Ⴐ	cut_j_stereo_44KHz.wav
1	116	3	3	2	I	2	0	1028	0	Ⴔ	cut_s_stereo_44KHz.wav
1	117	4	4	2	I	1	0	997	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	118	1	2	0	C	2	0	879	0	Ⴐ	cut_f_stereo_44KHz.wav
1	119	3	4	2	I	2	0	1118	0	Ⴔ	cut_ei_stereo_44KHz.wav
1	120	2	1	0	C	1	1	1345	1	Ⴖ	cut_j_stereo_44KHz.wav
1	121	1	2	0	C	1	1	1547	1	Ⴐ	cut_f_stereo_44KHz.wav
1	122	3	4	2	I	1	0	621	0	Ⴔ	cut_ei_stereo_44KHz.wav
1	123	4	4	2	I	1	0	628	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	124	2	1	0	C	1	1	1003	1	Ⴖ	cut_j_stereo_44KHz.wav
1	125	1	1	1	C	2	1	790	1	Ⴐ	cut_j_stereo_44KHz.wav
1	126	2	2	1	C	2	1	1282	1	Ⴖ	cut_f_stereo_44KHz.wav
1	127	3	3	2	I	1	0	1376	1	Ⴔ	cut_s_stereo_44KHz.wav
1	128	4	3	2	I	2	0	989	0	Ⴉ	cut_s_stereo_44KHz.wav
1	129	1	2	0	C	1	1	1468	1	Ⴐ	cut_f_stereo_44KHz.wav
1	130	2	1	0	C	1	1	1083	1	Ⴖ	cut_j_stereo_44KHz.wav
1	131	4	4	2	I	1	0	880	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	132	3	4	2	I	2	0	916	1	Ⴔ	cut_ei_stereo_44KHz.wav
1	133	1	1	1	C	2	1	939	1	Ⴐ	cut_j_stereo_44KHz.wav
1	134	4	3	2	I	2	0	1695	1	Ⴉ	cut_s_stereo_44KHz.wav
1	135	3	3	2	I	1	0	1384	0	Ⴔ	cut_s_stereo_44KHz.wav
1	136	2	2	1	C	2	1	1498	1	Ⴖ	cut_f_stereo_44KHz.wav
1	137	4	3	2	I	2	0	1566	0	Ⴉ	cut_s_stereo_44KHz.wav
1	138	1	1	1	C	2	1	1030	1	Ⴐ	cut_j_stereo_44KHz.wav
1	139	2	1	0	C	1	1	1114	1	Ⴖ	cut_j_stereo_44KHz.wav
