block	trial	vStim	aStim	resp	rt	fb	iti	feedJitter	vSymbol	aFile	FBtype	stimOnset	respOnset	feedbackOnset
2	1	3	4	1	877	0	2532	1509	u_short_2_1.wav	I	Cong	7618	8495	11639
2	2	4	3	1	1293	0	2632	2041	w_2_2_loudCheck.wav	0	Cong	16308	17601	20858
2	3	5	5	1	1314	1	2841	1380	r_2_1.wav	:	Cong	25737	27051	29647
2	4	6	6	1	1305	1	2671	2220	ach_2_1.wav	1	Cong	34371	35676	39125
2	5	1	2	1	1346	0	2219	1628	z_2_2.wav	A	Cong	43386	44732	47536
2	6	5	5	1	1202	1	2010	2422	r_2_1.wav	:	Cong	51566	52768	56504
2	7	2	1	1	1437	0	1889	1996	k_2_1_loudCheck.wav	E	Cong	60447	61884	64964
2	8	5	5	1	1074	1	2334	2924	r_2_1.wav	:	Cong	69315	70389	74745
2	9	5	6	2	1329	1	2503	2244	ach_2_1.wav	:	Cong	79266	80595	84046
2	10	1	1	1	1789	1	2448	1599	k_2_1_loudCheck.wav	A	Cong	88512	90301	92619
2	11	3	3	1	1424	1	2586	2582	w_2_2_loudCheck.wav	I	Cong	97221	98645	102323
2	12	6	5	2	1133	1	3114	1654	r_2_1.wav	1	Cong	107448	108581	111608
2	13	1	1	1	1004	1	3315	1146	k_2_1_loudCheck.wav	A	Cong	116934	117938	120600
2	14	4	4	1	1878	1	2035	2619	u_short_2_1.wav	0	Cong	124656	126534	129782
2	15	3	3	1	1225	1	2335	1574	w_2_2_loudCheck.wav	I	Cong	134141	135366	138221
2	16	1	2	2	1444	1	1738	2035	z_2_2.wav	A	Cong	141983	143427	146540
2	17	3	3	1	921	1	1852	2602	w_2_2_loudCheck.wav	I	Cong	150403	151324	155513
2	18	6	5	2	1410	1	2639	1592	r_2_1.wav	1	Cong	160176	161586	164285
2	19	2	2	1	1584	1	2466	1796	z_2_2.wav	E	Cong	168774	170358	173077
2	20	4	3	2	1383	1	1927	2898	w_2_2_loudCheck.wav	0	Cong	177022	178405	182436
2	21	4	4	1	1004	1	2986	2123	u_short_2_1.wav	0	Cong	187432	188436	192072
2	22	6	5	2	1117	1	1760	899	r_2_1.wav	1	Cong	195855	196972	199271
2	23	1	1	1	1948	1	2678	2173	k_2_1_loudCheck.wav	A	Cong	203968	205916	208669
2	24	6	5	2	1888	1	2195	2130	r_2_1.wav	1	Cong	212886	214774	217545
2	25	4	3	2	1034	1	3066	1855	w_2_2_loudCheck.wav	0	Cong	222627	223661	227002
2	26	6	6	1	1085	1	2350	2324	ach_2_1.wav	1	Cong	231361	232446	236192
2	27	3	4	2	1695	1	2182	1582	u_short_2_1.wav	I	Cong	240395	242090	244486
2	28	6	6	1	870	1	2720	1639	ach_2_1.wav	1	Cong	249222	250092	253380
2	29	2	2	1	1567	1	2134	2403	z_2_2.wav	E	Cong	257523	259090	262433
2	30	3	4	2	1176	1	3200	2155	u_short_2_1.wav	I	Cong	267658	268834	272332
2	31	2	1	2	1217	1	2364	2131	k_2_1_loudCheck.wav	E	Cong	276720	277937	281377
2	32	2	1	2	1133	1	3581	1289	k_2_1_loudCheck.wav	E	Cong	286972	288105	290798
2	33	5	6	2	1056	1	2954	2754	ach_2_1.wav	:	Cong	295762	296818	301033
2	34	5	5	1	930	1	2221	1320	r_2_1.wav	:	Cong	305275	306205	309116
2	35	5	6	2	1152	1	2911	1795	ach_2_1.wav	:	Cong	314040	315192	318361
2	36	1	2	2	1291	1	2925	2341	z_2_2.wav	A	Cong	323305	324596	328158
2	37	2	1	2	1624	1	2786	1718	k_2_1_loudCheck.wav	E	Cong	332964	334588	337218
2	38	4	4	1	888	1	2885	1656	u_short_2_1.wav	0	Cong	342116	343004	346291
2	39	1	1	1	1264	1	2670	2151	k_2_1_loudCheck.wav	A	Cong	350970	352234	355656
2	40	3	3	1	1522	1	3387	1779	w_2_2_loudCheck.wav	I	Cong	361054	362576	365364
2	41	6	6	1	993	1	1991	2189	ach_2_1.wav	1	Cong	369373	370366	374080
2	42	3	4	2	1606	1	2881	1395	u_short_2_1.wav	I	Cong	378984	380590	382886
2	43	2	2	1	1026	1	2871	1465	z_2_2.wav	E	Cong	387778	388804	391760
2	44	5	6	2	1612	1	1615	1670	ach_2_1.wav	:	Cong	395392	397004	399574
2	45	4	4	1	749	1	2836	1453	u_short_2_1.wav	0	Cong	404422	405171	408393
2	46	1	2	2	973	1	2458	1066	z_2_2.wav	A	Cong	412864	413837	416462
2	47	4	3	2	1103	1	3740	2576	w_2_2_loudCheck.wav	0	Cong	422220	423323	427306
2	48	2	2	1	942	1	2269	1105	z_2_2.wav	E	Cong	431592	432534	435202
