block	trial	vStim	aStim	resp	rt	fb	iti	feedJitter	aFile	vSymbol	LeftIsMatch	stimOnset	respOnset	feedbackOnset
2	1	3	4	1	937	0	2364	1796	u_short_2_1.wav	I	1	7425	8362	11734
2	2	4	3	1	988	0	2010	2155	w_2_2_loudCheck.wav	0	1	15778	16766	20465
2	3	5	5	1	849	1	2134	1855	r_2_1.wav	:	1	24640	25489	29002
2	4	6	6	1	904	1	1760	1066	ach_2_1.wav	1	1	32787	33691	36370
2	5	1	2	1	991	0	2841	2403	z_2_2.wav	A	1	41263	42254	46179
2	6	5	5	2	1366	0	2466	1465	r_2_1.wav	:	1	50669	52035	54642
2	7	2	1	1	1288	0	2195	2041	k_2_1_loudCheck.wav	E	1	58887	60175	63441
2	8	5	5	1	1275	1	2670	1453	r_2_1.wav	:	1	68132	69407	72104
2	9	5	6	2	1421	1	3315	2924	ach_2_1.wav	:	1	77432	78853	82876
2	10	1	1	1	2119	1	2219	899	k_2_1_loudCheck.wav	A	1	87112	89231	90534
2	11	3	3	1	1491	1	2448	1380	w_2_2_loudCheck.wav	I	1	95001	96492	98890
2	12	6	5	1	1859	0	3387	1574	r_2_1.wav	1	1	104296	106155	108385
2	13	1	1	1	1327	1	2885	2189	k_2_1_loudCheck.wav	A	1	113294	114621	118002
2	14	4	4	1	1269	1	2954	2602	u_short_2_1.wav	0	1	122979	124248	128098
2	15	3	3	1	1846	1	2720	1509	w_2_2_loudCheck.wav	I	1	132842	134688	136869
2	16	1	2	2	2242	1	3200	1395	z_2_2.wav	A	1	142089	144331	145990
2	17	3	3	1	1546	1	2986	2123	w_2_2_loudCheck.wav	I	1	150997	152543	155654
2	18	6	5	2	1853	1	1991	1146	r_2_1.wav	1	1	159668	161521	163332
2	19	2	2	1	1633	1	2836	2341	z_2_2.wav	E	1	168189	169822	173049
2	20	4	3	2	1316	1	2586	1105	w_2_2_loudCheck.wav	0	1	177654	178970	181279
2	21	4	4	1	1003	1	2678	1592	u_short_2_1.wav	0	1	185970	186973	190073
2	22	6	5	2	1364	1	2925	2754	r_2_1.wav	1	1	195020	196384	200303
2	23	1	1	1	2148	1	2334	2324	k_2_1_loudCheck.wav	A	1	204659	206807	209506
2	24	6	5	2	1306	1	2458	1779	r_2_1.wav	1	1	213984	215290	218279
2	25	4	3	2	1506	1	2881	1289	w_2_2_loudCheck.wav	0	1	223178	224684	226990
2	26	6	6	1	1044	1	2035	2220	ach_2_1.wav	1	1	231036	232080	235763
2	27	3	4	1	2104	0	2335	2131	u_short_2_1.wav	I	1	240106	242210	244743
2	28	6	6	1	841	1	2269	2151	ach_2_1.wav	1	1	249026	249867	253683
2	29	2	2	0	0	2	1738	2130	z_2_2.wav	E	1	257432	0	262084
2	30	3	4	2	1322	1	2632	1320	u_short_2_1.wav	I	1	266731	268053	270558
2	31	2	1	1	1796	0	1852	1639	k_2_1_loudCheck.wav	E	1	274423	276219	278587
2	32	2	1	2	2049	1	2221	2173	k_2_1_loudCheck.wav	E	1	282817	284866	287510
2	33	5	6	2	1621	1	3066	1582	ach_2_1.wav	:	1	292598	294219	296717
2	34	5	5	1	1060	1	2786	1656	r_2_1.wav	:	1	301519	302579	305711
2	35	5	6	2	1117	1	3114	2898	ach_2_1.wav	:	1	310833	311950	316254
2	36	1	2	1	1873	0	3740	1670	z_2_2.wav	A	1	322004	323877	326184
2	37	2	1	2	1091	1	2671	2576	k_2_1_loudCheck.wav	E	1	330866	331957	335976
2	38	4	4	1	996	1	3581	1599	u_short_2_1.wav	0	1	341574	342570	345710
2	39	1	1	1	1758	1	1889	1718	k_2_1_loudCheck.wav	A	1	349614	351372	353853
2	40	3	3	1	1061	1	2871	1628	w_2_2_loudCheck.wav	I	1	358737	359798	362882
2	41	6	6	1	1184	1	1927	1996	ach_2_1.wav	1	1	366829	368013	371357
2	42	3	4	2	943	1	2503	2422	u_short_2_1.wav	I	1	375877	376820	380819
2	43	2	2	1	921	1	2350	2244	z_2_2.wav	E	1	385190	386111	389942
2	44	5	6	2	1636	1	2532	2035	ach_2_1.wav	:	1	394491	396127	399034
2	45	4	4	1	918	1	2911	1654	u_short_2_1.wav	0	1	403955	404873	408119
2	46	1	2	2	1262	1	2182	1795	z_2_2.wav	A	1	412312	413574	416616
2	47	4	3	2	1123	1	2639	2582	w_2_2_loudCheck.wav	0	1	421274	422397	426373
2	48	2	2	1	904	1	1615	2619	z_2_2.wav	E	1	429999	430903	435130
