block	trial	vStim	aStim	resp	rt	fb	iti	feedJitter	aFile	vSymbol	LeftIsMatch	stimOnset	respOnset	feedbackOnset
1	1	4	3	2	611	0	2841	1320	t_2_1_loudCheck.wav	3	0	7910	8521	11741
1	2	5	6	1	855	1	2195	1574	in_short_2_1_loudCheck.wav	4	0	15982	16837	20069
1	3	3	4	2	1094	0	2364	1639	l_2_2_loudCheck.wav	V	0	24507	25601	28656
1	4	1	1	2	1063	1	2586	1656	a_short_2_2.wav	N	0	33250	34313	37426
1	5	6	5	2	793	0	2458	1796	b_2_1.wav	5	0	41907	42700	46221
1	6	2	2	1	814	0	2532	2754	e_short_2_2.wav	R	0	50784	51598	56049
1	7	5	5	2	766	1	3581	1380	b_2_1.wav	4	0	61651	62417	65551
1	8	1	2	1	791	1	2678	2131	e_short_2_2.wav	N	0	70248	71039	74890
1	9	2	1	1	875	1	2466	2173	a_short_2_2.wav	R	0	79370	80245	84051
1	10	3	3	1	1210	0	2503	2189	t_2_1_loudCheck.wav	V	0	88576	89786	93285
1	11	5	5	2	931	1	2269	2898	b_2_1.wav	4	0	97576	98507	102996
1	12	4	4	1	1378	0	2670	1718	l_2_2_loudCheck.wav	3	0	107676	109054	111913
1	13	2	1	2	998	0	3387	2041	a_short_2_2.wav	R	0	117313	118311	121869
1	14	4	4	1	1279	0	1738	2582	l_2_2_loudCheck.wav	3	0	125628	126907	130733
1	15	3	3	2	987	1	2219	2155	t_2_1_loudCheck.wav	V	0	134963	135950	139623
1	16	4	4	2	943	1	3114	1795	l_2_2_loudCheck.wav	3	0	144761	145704	149078
1	17	5	6	1	849	1	2350	1582	in_short_2_1_loudCheck.wav	4	0	153447	154296	157536
1	18	4	3	1	586	1	2836	1289	t_2_1_loudCheck.wav	3	0	162388	162974	166213
1	19	1	1	1	1014	0	1852	1855	a_short_2_2.wav	N	0	170075	171089	174438
1	20	5	6	1	1034	1	2881	1146	in_short_2_1_loudCheck.wav	4	0	179328	180362	182981
1	21	2	1	1	824	1	2448	1066	a_short_2_2.wav	R	0	187450	188274	191041
1	22	3	3	2	800	1	2335	2244	t_2_1_loudCheck.wav	V	0	195394	196194	200144
1	23	6	5	2	979	0	2671	1453	b_2_1.wav	5	0	204832	205811	208820
1	24	3	4	1	897	1	2986	2602	l_2_2_loudCheck.wav	V	0	213818	214715	218955
1	25	6	6	1	957	0	3315	1779	in_short_2_1_loudCheck.wav	5	0	224310	225267	228610
1	26	2	1	1	911	1	2720	2403	a_short_2_2.wav	R	0	233348	234259	238270
1	27	6	6	2	716	1	2334	1105	in_short_2_1_loudCheck.wav	5	0	242628	243344	246240
1	28	1	1	2	1208	1	2871	899	a_short_2_2.wav	N	0	251123	252331	254539
1	29	3	4	1	812	1	2010	2324	l_2_2_loudCheck.wav	V	0	258568	259380	263408
1	30	2	2	2	1009	1	1889	2576	e_short_2_2.wav	R	0	267317	268326	272414
1	31	5	6	1	817	1	2925	1670	in_short_2_1_loudCheck.wav	4	0	277372	278189	281555
1	32	5	5	1	1351	0	3740	1509	b_2_1.wav	4	0	287306	288657	291325
1	33	4	3	1	905	1	2035	2220	t_2_1_loudCheck.wav	3	0	295383	296288	300127
1	34	3	4	1	835	1	2885	1628	l_2_2_loudCheck.wav	V	0	305020	305855	309184
1	35	6	6	1	825	0	1760	2422	in_short_2_1_loudCheck.wav	5	0	312980	313805	317919
1	36	1	2	2	1307	0	2632	2924	e_short_2_2.wav	N	0	322573	323880	328004
1	37	5	5	1	1064	0	1927	1599	b_2_1.wav	4	0	331948	333012	336063
1	38	3	3	2	627	1	2954	1996	t_2_1_loudCheck.wav	V	0	341033	341660	345546
1	39	1	2	1	1222	1	1615	2035	e_short_2_2.wav	N	0	349177	350399	353742
1	40	4	3	1	893	1	2134	1592	t_2_1_loudCheck.wav	3	0	357886	358779	362003
1	41	1	2	1	917	1	1991	1465	e_short_2_2.wav	N	0	366017	366934	370000
1	42	6	5	1	968	1	2911	2619	b_2_1.wav	5	0	374944	375912	380073
1	43	2	2	2	1442	1	2221	1395	e_short_2_2.wav	R	0	384318	385760	388233
1	44	1	1	2	892	1	2786	2123	a_short_2_2.wav	N	0	393040	393932	397682
1	45	6	5	2	1408	0	2182	2151	b_2_1.wav	5	0	401886	403294	406563
1	46	2	2	1	938	0	3066	2130	e_short_2_2.wav	R	0	411640	412578	416291
1	47	4	4	2	1006	1	2639	2341	l_2_2_loudCheck.wav	3	0	420945	421951	425820
1	48	6	6	1	890	0	3200	1654	in_short_2_1_loudCheck.wav	5	0	431039	431929	435229
