block	trial	vStim	aStim	resp	rt	fb	iti	feedJitter	aFile	vSymbol	LeftIsMatch	stimOnset	respOnset	feedbackOnset
1	1	4	3	2	1555	1	2466	1656	t_2_1_loudCheck.wav	3	1	7537	9092	11721
1	2	5	6	2	1033	1	2885	1582	in_short_2_1_loudCheck.wav	4	1	16647	17680	20765
1	3	3	4	2	1196	1	2448	1718	l_2_2_loudCheck.wav	V	1	25246	26442	29473
1	4	1	1	2	1033	0	3387	2123	a_short_2_2.wav	N	1	34873	35906	39511
1	5	6	5	2	926	1	2671	1670	b_2_1.wav	5	1	44237	45163	48441
1	6	2	2	2	1467	0	3114	1289	e_short_2_2.wav	R	1	53600	55067	57411
1	7	5	5	2	1150	0	2678	2155	b_2_1.wav	4	1	62100	63250	66782
1	8	1	2	2	1758	1	2532	2220	e_short_2_2.wav	N	1	71338	73096	76082
1	9	2	1	2	1400	1	3581	1628	a_short_2_2.wav	R	1	81671	83071	85819
1	10	3	3	2	1461	0	2035	1779	t_2_1_loudCheck.wav	V	1	89874	91335	94160
1	11	5	5	1	1423	1	2871	1796	b_2_1.wav	4	1	99049	100472	103362
1	12	4	4	2	1113	0	2911	2041	l_2_2_loudCheck.wav	3	1	108291	109404	112858
1	13	2	1	2	1144	1	1738	1105	a_short_2_2.wav	R	1	116618	117762	120229
1	14	4	4	1	840	1	2219	2924	l_2_2_loudCheck.wav	3	1	124460	125300	129890
1	15	3	3	1	1215	1	3200	1066	t_2_1_loudCheck.wav	V	1	135107	136322	138692
1	16	4	4	1	857	1	3066	2898	l_2_2_loudCheck.wav	3	1	143777	144634	149195
1	17	5	6	2	1458	1	2334	1855	in_short_2_1_loudCheck.wav	4	1	153556	155014	157918
1	18	4	3	2	912	1	2503	1395	t_2_1_loudCheck.wav	3	1	162429	163341	166361
1	19	1	1	1	864	1	1760	1453	a_short_2_2.wav	N	1	170141	171005	174111
1	20	5	6	2	1011	1	1852	1380	in_short_2_1_loudCheck.wav	4	1	177976	178987	181864
1	21	2	1	2	1604	1	2954	2422	a_short_2_2.wav	R	1	186837	188441	191776
1	22	3	3	2	2056	0	2335	2035	t_2_1_loudCheck.wav	V	1	196133	198189	200673
1	23	6	5	0	0	2	2986	1639	b_2_1.wav	5	1	205670	0	209844
1	24	3	4	2	900	1	1615	2151	l_2_2_loudCheck.wav	V	1	213468	214368	218131
1	25	6	6	2	1030	0	2195	1599	in_short_2_1_loudCheck.wav	5	1	222337	223367	226449
1	26	2	1	2	938	1	2269	2582	a_short_2_2.wav	R	1	230734	231672	235838
1	27	6	6	1	1860	1	2881	2576	in_short_2_1_loudCheck.wav	5	1	240730	242590	245813
1	28	1	1	1	857	1	3315	1996	a_short_2_2.wav	N	1	251145	252002	255661
1	29	3	4	2	815	1	2134	2173	l_2_2_loudCheck.wav	V	1	259812	260627	264493
1	30	2	2	2	919	0	2182	1654	e_short_2_2.wav	R	1	268697	269616	272860
1	31	5	6	2	1673	1	2586	2341	in_short_2_1_loudCheck.wav	4	1	277457	279130	282318
1	32	5	5	2	920	0	2632	1795	b_2_1.wav	4	1	286969	287889	291288
1	33	4	3	2	754	1	1991	2619	t_2_1_loudCheck.wav	3	1	295298	296052	300452
1	34	3	4	2	1252	1	2925	1509	l_2_2_loudCheck.wav	V	1	305400	306652	309438
1	35	6	6	1	1157	1	2010	2189	in_short_2_1_loudCheck.wav	5	1	313471	314628	318176
1	36	1	2	2	954	1	2720	2403	e_short_2_2.wav	N	1	322919	323873	327838
1	37	5	5	1	1297	1	2350	1146	b_2_1.wav	4	1	332198	333495	335851
1	38	3	3	1	868	1	1889	2244	t_2_1_loudCheck.wav	V	1	339761	340629	344526
1	39	1	2	2	1667	1	3740	1320	e_short_2_2.wav	N	1	350283	351950	354113
1	40	4	3	2	908	1	2639	2131	t_2_1_loudCheck.wav	3	1	358765	359673	363429
1	41	1	2	2	783	1	2836	2324	e_short_2_2.wav	N	1	368280	369063	373139
1	42	6	5	2	1460	1	2221	899	b_2_1.wav	5	1	377380	378840	380799
1	43	2	2	2	936	0	2841	1592	e_short_2_2.wav	R	1	385660	386596	389765
1	44	1	1	1	1136	1	2458	2130	a_short_2_2.wav	N	1	394246	395382	398892
1	45	6	5	2	1482	1	1927	1574	b_2_1.wav	5	1	402834	404316	406924
1	46	2	2	2	1499	0	2786	1465	e_short_2_2.wav	R	1	411734	413233	415734
1	47	4	4	1	1903	1	2364	2602	l_2_2_loudCheck.wav	3	1	420116	422019	425244
1	48	6	6	1	1162	1	2670	2754	in_short_2_1_loudCheck.wav	5	1	429938	431100	435211
