block	trial	vStim	aStim	resp	rt	fb	iti	feedJitter	aFile	vSymbol	LeftIsMatch	stimOnset	respOnset	feedbackOnset
1	1	4	3	2	1892	1	2195	2151	t_2_1_loudCheck.wav	3	1	7453	9345	12136
1	2	5	6	2	1362	1	2035	2130	in_short_2_1_loudCheck.wav	4	1	16215	17577	20852
1	3	3	4	1	1273	0	2134	1996	l_2_2_loudCheck.wav	V	1	25035	26308	29555
1	4	1	1	2	2079	0	3066	1656	a_short_2_2.wav	N	1	34638	36717	38814
1	5	6	5	1	1517	0	2881	2576	b_2_1.wav	5	1	43737	45254	48820
1	6	2	2	2	1070	0	2458	1639	e_short_2_2.wav	R	1	53328	54398	57482
1	7	5	5	2	2009	0	2836	1380	b_2_1.wav	4	1	62327	64336	66226
1	8	1	2	0	0	2	2221	1509	e_short_2_2.wav	N	1	70466	0	74512
1	9	2	1	2	1317	1	2503	2898	a_short_2_2.wav	R	1	79038	80355	84456
1	10	3	3	1	1458	1	1852	1855	t_2_1_loudCheck.wav	V	1	88318	89776	92697
1	11	5	5	1	1301	1	2986	2155	b_2_1.wav	4	1	97692	98993	102365
1	12	4	4	2	1397	0	2350	1453	l_2_2_loudCheck.wav	3	1	106755	108152	110715
1	13	2	1	2	1312	1	2466	1795	a_short_2_2.wav	R	1	115194	116506	119512
1	14	4	4	1	1445	1	2786	1582	l_2_2_loudCheck.wav	3	1	124317	125762	128418
1	15	3	3	1	1403	1	2841	2041	t_2_1_loudCheck.wav	V	1	133275	134678	137830
1	16	4	4	1	1137	1	2671	2341	l_2_2_loudCheck.wav	3	1	142522	143659	147398
1	17	5	6	2	1397	1	1927	1628	in_short_2_1_loudCheck.wav	4	1	151345	152742	155488
1	18	4	3	1	987	0	2678	1465	t_2_1_loudCheck.wav	3	1	160186	161173	164162
1	19	1	1	2	1467	0	1760	1718	a_short_2_2.wav	N	1	167939	169406	172174
1	20	5	6	2	1275	1	3200	1599	in_short_2_1_loudCheck.wav	4	1	177387	178662	181506
1	21	2	1	2	1333	1	2010	2924	a_short_2_2.wav	R	1	185531	186864	190971
1	22	3	3	1	1366	1	2586	1654	t_2_1_loudCheck.wav	V	1	195574	196940	199765
1	23	6	5	2	1230	1	2335	2220	b_2_1.wav	5	1	204110	205340	208836
1	24	3	4	2	1069	1	2532	1320	l_2_2_loudCheck.wav	V	1	213376	214445	217220
1	25	6	6	2	1079	0	2720	1574	in_short_2_1_loudCheck.wav	5	1	221953	223032	226063
1	26	2	1	2	1681	1	3740	1796	a_short_2_2.wav	R	1	231827	233508	236133
1	27	6	6	1	1411	1	2364	1779	in_short_2_1_loudCheck.wav	5	1	240514	241925	244803
1	28	1	1	1	1091	1	2632	899	a_short_2_2.wav	N	1	249453	250544	252876
1	29	3	4	2	952	1	2334	2324	l_2_2_loudCheck.wav	V	1	257230	258182	262060
1	30	2	2	2	1701	0	2448	1670	e_short_2_2.wav	R	1	266529	268230	270707
1	31	5	6	2	1784	1	2219	1395	in_short_2_1_loudCheck.wav	4	1	274937	276721	278838
1	32	5	5	1	997	1	2269	2582	b_2_1.wav	4	1	283128	284125	288215
1	33	4	3	1	1424	0	2670	1592	t_2_1_loudCheck.wav	3	1	292896	294320	297007
1	34	3	4	2	938	1	3315	2754	l_2_2_loudCheck.wav	V	1	302345	303283	307636
1	35	6	6	1	1041	1	2954	1146	in_short_2_1_loudCheck.wav	5	1	312628	313669	316290
1	36	1	2	2	1446	1	2885	1105	e_short_2_2.wav	N	1	321197	322643	324821
1	37	5	5	1	878	1	1738	2173	b_2_1.wav	4	1	328571	329449	333250
1	38	3	3	2	1730	0	1991	2189	t_2_1_loudCheck.wav	V	1	337263	338993	341970
1	39	1	2	2	1531	1	3581	2619	e_short_2_2.wav	N	1	347574	349105	352713
1	40	4	3	2	1239	1	2639	2422	t_2_1_loudCheck.wav	3	1	357375	358614	362331
1	41	1	2	2	1679	1	2182	1066	e_short_2_2.wav	N	1	366534	368213	370127
1	42	6	5	2	1047	1	1615	2403	b_2_1.wav	5	1	373760	374807	378676
1	43	2	2	1	1478	1	2871	2131	e_short_2_2.wav	R	1	383571	385049	388219
1	44	1	1	2	1476	0	3114	2123	a_short_2_2.wav	N	1	393347	394823	397992
1	45	6	5	2	956	1	2925	2035	b_2_1.wav	5	1	402940	403896	407487
1	46	2	2	2	1669	0	1889	2244	e_short_2_2.wav	R	1	411387	413056	416152
1	47	4	4	1	1548	1	3387	2602	l_2_2_loudCheck.wav	3	1	421556	423104	426673
1	48	6	6	2	1453	0	2911	1289	in_short_2_1_loudCheck.wav	5	1	431608	433061	435407
