block	trial	vStim	aStim	resp	rt	fb	iti	feedJitter	vSymbol	aFile	FBtype	stimOnset	respOnset	feedbackOnset
2	1	3	4	1	993	0	2871	2151	u_short_2_1.wav	I	Cong	7928	8921	12616
2	2	4	3	1	1109	0	2035	2123	w_2_2_loudCheck.wav	0	Cong	16678	17787	21309
2	3	5	5	1	1313	1	2503	1628	r_2_1.wav	:	Cong	25850	27163	29998
2	4	6	6	1	1143	1	2195	1066	ach_2_1.wav	1	Cong	34230	35373	37826
2	5	1	2	1	1084	0	2182	1599	z_2_2.wav	A	Cong	42042	43126	46151
2	6	5	5	2	1314	0	3200	2324	r_2_1.wav	:	Cong	51367	52681	56210
2	7	2	1	1	1242	0	1991	1574	k_2_1_loudCheck.wav	E	Cong	60238	61480	64330
2	8	5	5	1	1052	1	2010	2924	r_2_1.wav	:	Cong	68364	69416	73804
2	9	5	6	2	1081	1	1738	2602	ach_2_1.wav	:	Cong	77559	78640	82667
2	10	1	1	1	1222	1	2134	2155	k_2_1_loudCheck.wav	A	Cong	86825	88047	91488
2	11	3	3	1	1122	1	2881	2130	w_2_2_loudCheck.wav	I	Cong	96392	97514	101029
2	12	6	5	2	928	1	2836	2576	r_2_1.wav	1	Cong	105880	106808	110992
2	13	1	1	1	751	1	1852	899	k_2_1_loudCheck.wav	A	Cong	114861	115612	118268
2	14	4	4	2	828	0	2335	1465	u_short_2_1.wav	0	Cong	122622	123450	126593
2	15	3	3	1	891	1	2448	1670	w_2_2_loudCheck.wav	I	Cong	131058	131949	135253
2	16	1	2	2	764	1	2720	2422	z_2_2.wav	A	Cong	139984	140748	144925
2	17	3	3	1	737	1	3581	1639	w_2_2_loudCheck.wav	I	Cong	150528	151265	154686
2	18	6	5	2	941	1	2670	2035	r_2_1.wav	1	Cong	159365	160306	163936
2	19	2	2	1	1225	1	2334	2341	z_2_2.wav	E	Cong	168281	169506	173128
2	20	4	3	1	807	0	1760	2244	w_2_2_loudCheck.wav	0	Cong	176908	177715	181669
2	21	4	4	1	708	1	2671	1855	u_short_2_1.wav	0	Cong	186358	187066	190747
2	22	6	5	1	1025	0	2786	1718	r_2_1.wav	1	Cong	195558	196583	199795
2	23	1	1	1	756	1	3740	1654	k_2_1_loudCheck.wav	A	Cong	205548	206304	209712
2	24	6	5	2	1009	1	2221	2189	r_2_1.wav	1	Cong	213943	214952	218669
2	25	4	3	2	865	1	2986	2131	w_2_2_loudCheck.wav	0	Cong	223678	224543	228327
2	26	6	6	1	1324	1	2841	2898	ach_2_1.wav	1	Cong	233182	234506	238594
2	27	3	4	2	1447	1	2678	2041	u_short_2_1.wav	I	Cong	243282	244729	247833
2	28	6	6	1	871	1	2911	1656	ach_2_1.wav	1	Cong	252766	253637	256932
2	29	2	2	1	1274	1	2639	2582	z_2_2.wav	E	Cong	261579	262853	266678
2	30	3	4	2	929	1	2350	1509	u_short_2_1.wav	I	Cong	271039	271968	275055
2	31	2	1	2	859	1	3114	1779	k_2_1_loudCheck.wav	E	Cong	280192	281051	284494
2	32	2	1	2	893	1	2458	2619	k_2_1_loudCheck.wav	E	Cong	288970	289863	294104
2	33	5	6	2	906	1	1615	1289	ach_2_1.wav	:	Cong	297743	298649	301545
2	34	5	5	1	986	1	2632	1380	r_2_1.wav	:	Cong	306187	307173	310075
2	35	5	6	2	832	1	2364	1582	ach_2_1.wav	:	Cong	314458	315290	318550
2	36	1	2	2	919	1	2586	2220	z_2_2.wav	A	Cong	323152	324071	327892
2	37	2	1	2	844	1	2466	1395	k_2_1_loudCheck.wav	E	Cong	332366	333210	336268
2	38	4	4	1	701	1	3315	1592	u_short_2_1.wav	0	Cong	341604	342305	345733
2	39	1	1	1	819	1	3066	1105	k_2_1_loudCheck.wav	A	Cong	350822	351641	354464
2	40	3	3	1	784	1	2885	1796	w_2_2_loudCheck.wav	I	Cong	359362	360146	363677
2	41	6	6	1	832	1	2269	2173	ach_2_1.wav	1	Cong	367964	368796	372659
2	42	3	4	2	809	1	3387	2754	u_short_2_1.wav	I	Cong	378068	378877	383337
2	43	2	2	1	1066	1	1927	1453	z_2_2.wav	E	Cong	387285	388351	391270
2	44	5	6	2	1212	1	2954	1320	ach_2_1.wav	:	Cong	396237	397449	400074
2	45	4	4	1	608	1	2219	1795	u_short_2_1.wav	0	Cong	404306	404914	408623
2	46	1	2	2	1108	1	1889	1146	z_2_2.wav	A	Cong	412531	413639	416197
2	47	4	3	2	801	1	2925	2403	w_2_2_loudCheck.wav	0	Cong	421143	421944	426059
2	48	2	2	1	819	1	2532	1996	z_2_2.wav	E	Cong	430615	431434	435119
