block	trial	vStim	aStim	resp	rt	fb	iti	feedJitter	aFile	vSymbol	LeftIsMatch	stimOnset	respOnset	feedbackOnset
3	1	4	3	2	1547	0	2182	1796	p_2_1_loudCheck.wav	6	0	9147	10694	13457
3	2	2	1	2	1485	0	2035	1574	o_short_2_2.wav	a	0	17542	19027	21624
3	3	5	5	2	1286	1	2670	2422	s_2_1.wav	7	0	26351	27637	31292
3	4	4	3	0	0	2	3200	1779	p_2_1_loudCheck.wav	6	0	36514	0	40812
3	5	2	1	1	1789	1	2503	1670	o_short_2_2.wav	a	0	45333	47122	49523
3	6	5	6	1	2495	1	2871	2754	af_2_1.wav	7	0	54439	56934	59726
3	7	3	4	2	1536	0	2010	899	ch_2_3.wav	e	0	63790	65326	67205
3	8	6	5	1	1795	1	1889	2041	s_2_1.wav	8	0	71114	72909	75675
3	9	2	2	0	0	2	1615	1066	i_short_2_2.wav	a	0	79345	0	82940
3	10	3	3	1	1820	0	2350	2151	p_2_1_loudCheck.wav	e	0	87308	89128	91967
3	11	5	5	2	850	1	2466	2341	s_2_1.wav	7	0	96443	97293	101292
