block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file

RL

3	21	2	2	1	C	1	1	873	1	Ⴇ	cut_oei.wav
3	22	3	3	2	I	2	0	855	1	Ⴁ	cut_j.wav
3	23	4	4	2	I	1	0	1436	0	Ⴊ	cut_n.wav
3	24	1	2	0	C	1	0	1391	0	Ⴃ	cut_oei.wav
3	25	2	2	1	C	1	1	895	1	Ⴇ	cut_oei.wav
3	26	1	1	1	C	1	1	818	1	Ⴃ	cut_s.wav
3	27	4	3	2	I	2	0	844	1	Ⴊ	cut_j.wav
3	28	3	4	2	I	1	0	1698	0	Ⴁ	cut_n.wav
3	29	1	2	0	C	2	1	1070	1	Ⴃ	cut_oei.wav
3	30	4	4	2	I	2	0	977	1	Ⴊ	cut_n.wav
3	31	3	3	2	I	2	0	614	1	Ⴁ	cut_j.wav
3	32	2	1	0	C	2	1	692	1	Ⴇ	cut_s.wav
3	33	4	4	2	I	2	0	1188	0	Ⴊ	cut_n.wav
3	34	3	3	2	I	2	0	835	0	Ⴁ	cut_j.wav
3	35	1	1	1	C	2	0	1090	0	Ⴃ	cut_s.wav
3	36	2	1	0	C	1	0	1225	0	Ⴇ	cut_s.wav
3	37	1	2	0	C	1	0	1230	0	Ⴃ	cut_oei.wav
3	38	3	4	2	I	1	0	848	1	Ⴁ	cut_n.wav
3	39	4	3	2	I	2	0	964	0	Ⴊ	cut_j.wav
3	40	2	2	1	C	1	1	961	1	Ⴇ	cut_oei.wav
3	41	3	4	2	I	1	0	880	0	Ⴁ	cut_n.wav
3	42	1	2	0	C	2	1	988	1	Ⴃ	cut_oei.wav
3	43	2	1	0	C	2	1	836	1	Ⴇ	cut_s.wav
3	44	4	4	2	I	2	0	1210	0	Ⴊ	cut_n.wav
3	45	1	1	1	C	1	1	1377	1	Ⴃ	cut_s.wav
3	46	4	3	2	I	1	0	1043	0	Ⴊ	cut_j.wav
3	47	2	2	1	C	1	1	1251	1	Ⴇ	cut_oei.wav
3	48	3	3	2	I	2	0	842	1	Ⴁ	cut_j.wav
3	49	1	2	0	C	2	1	1042	1	Ⴃ	cut_oei.wav
3	50	2	2	1	C	1	1	927	1	Ⴇ	cut_oei.wav
3	51	4	4	2	I	2	0	720	0	Ⴊ	cut_n.wav
3	52	3	4	2	I	2	0	562	1	Ⴁ	cut_n.wav
3	53	2	1	0	C	2	1	712	1	Ⴇ	cut_s.wav
3	54	1	1	1	C	1	1	816	1	Ⴃ	cut_s.wav
3	55	4	3	2	I	2	0	1093	0	Ⴊ	cut_j.wav
3	56	3	3	2	I	2	0	621	0	Ⴁ	cut_j.wav
3	57	4	3	2	I	1	0	1931	0	Ⴊ	cut_j.wav
3	58	1	2	0	C	2	1	941	1	Ⴃ	cut_oei.wav
3	59	2	1	0	C	2	1	445	1	Ⴇ	cut_s.wav
3	60	3	3	2	I	2	0	714	0	Ⴁ	cut_j.wav
3	61	1	1	1	C	1	1	1298	1	Ⴃ	cut_s.wav
3	62	4	4	2	I	1	0	1170	1	Ⴊ	cut_n.wav
3	63	3	4	2	I	2	0	1069	0	Ⴁ	cut_n.wav
3	64	2	2	1	C	1	1	1321	1	Ⴇ	cut_oei.wav
3	65	3	4	2	I	2	0	1088	1	Ⴁ	cut_n.wav
3	66	2	1	0	C	2	1	748	1	Ⴇ	cut_s.wav
3	67	1	2	0	C	2	1	787	1	Ⴃ	cut_oei.wav
3	68	4	4	2	I	2	0	761	1	Ⴊ	cut_n.wav
3	69	1	1	1	C	2	0	1109	0	Ⴃ	cut_s.wav
3	70	4	3	2	I	2	0	1249	1	Ⴊ	cut_j.wav
3	71	3	3	2	I	1	0	833	0	Ⴁ	cut_j.wav
3	72	2	2	1	C	1	1	1082	1	Ⴇ	cut_oei.wav
3	73	4	4	2	I	2	0	937	1	Ⴊ	cut_n.wav
3	74	3	4	2	I	1	0	867	1	Ⴁ	cut_n.wav
3	75	1	1	1	C	1	1	1385	1	Ⴃ	cut_s.wav
3	76	2	1	0	C	1	0	864	0	Ⴇ	cut_s.wav
3	77	1	2	0	C	2	1	613	1	Ⴃ	cut_oei.wav
3	78	2	2	1	C	1	1	685	1	Ⴇ	cut_oei.wav
3	79	4	3	2	I	2	0	1105	1	Ⴊ	cut_j.wav
3	80	3	3	2	I	1	0	931	1	Ⴁ	cut_j.wav
3	81	4	3	2	I	2	0	1242	0	Ⴊ	cut_j.wav
3	82	2	2	1	C	1	1	1135	1	Ⴇ	cut_oei.wav
3	83	1	2	0	C	2	1	517	1	Ⴃ	cut_oei.wav
3	84	3	4	2	I	2	0	1180	0	Ⴁ	cut_n.wav
3	85	2	1	0	C	2	1	1024	1	Ⴇ	cut_s.wav
3	86	4	4	2	I	2	0	963	1	Ⴊ	cut_n.wav
3	87	3	3	2	I	1	0	573	0	Ⴁ	cut_j.wav
3	88	1	1	1	C	1	1	1537	1	Ⴃ	cut_s.wav
3	89	2	1	0	C	2	1	949	1	Ⴇ	cut_s.wav
3	90	4	4	2	I	2	0	865	1	Ⴊ	cut_n.wav
3	91	1	2	0	C	2	1	837	1	Ⴃ	cut_oei.wav
3	92	3	4	2	I	1	0	1106	0	Ⴁ	cut_n.wav
3	93	1	1	1	C	1	1	1685	1	Ⴃ	cut_s.wav
3	94	3	3	2	I	2	0	998	1	Ⴁ	cut_j.wav
3	95	4	3	2	I	1	0	804	1	Ⴊ	cut_j.wav
3	96	2	2	1	C	1	1	1482	1	Ⴇ	cut_oei.wav
3	97	4	4	2	I	2	0	1456	1	Ⴊ	cut_n.wav
3	98	1	2	0	C	2	1	1122	1	Ⴃ	cut_oei.wav
3	99	2	1	0	C	2	1	638	1	Ⴇ	cut_s.wav
3	100	3	4	2	I	1	0	961	0	Ⴁ	cut_n.wav
3	101	2	2	1	C	1	1	1071	1	Ⴇ	cut_oei.wav
3	102	4	3	2	I	2	0	1490	1	Ⴊ	cut_j.wav
3	103	3	3	2	I	1	0	911	0	Ⴁ	cut_j.wav
3	104	1	1	1	C	1	1	1168	1	Ⴃ	cut_s.wav
3	105	3	4	2	I	2	0	1196	0	Ⴁ	cut_n.wav
3	106	1	1	1	C	1	1	1193	1	Ⴃ	cut_s.wav
3	107	4	3	2	I	2	0	1380	1	Ⴊ	cut_j.wav
3	108	2	1	0	C	2	1	1256	1	Ⴇ	cut_s.wav
3	109	1	2	0	C	2	1	772	1	Ⴃ	cut_oei.wav
3	110	3	3	2	I	1	0	1131	1	Ⴁ	cut_j.wav
3	111	2	2	1	C	2	0	1116	0	Ⴇ	cut_oei.wav
3	112	4	4	2	I	2	0	965	0	Ⴊ	cut_n.wav
3	113	3	4	2	I	2	0	770	0	Ⴁ	cut_n.wav
3	114	4	4	2	I	2	0	937	1	Ⴊ	cut_n.wav
3	115	2	2	1	C	1	1	1030	1	Ⴇ	cut_oei.wav
3	116	1	2	0	C	1	0	1174	0	Ⴃ	cut_oei.wav
3	117	2	1	0	C	2	1	595	1	Ⴇ	cut_s.wav
3	118	4	3	2	I	1	0	1015	1	Ⴊ	cut_j.wav
3	119	3	3	2	I	2	0	1134	0	Ⴁ	cut_j.wav
3	120	1	1	1	C	1	1	1306	1	Ⴃ	cut_s.wav
3	121	2	1	0	C	2	1	896	1	Ⴇ	cut_s.wav
3	122	3	3	2	I	2	0	838	1	Ⴁ	cut_j.wav
3	123	4	4	2	I	2	0	680	0	Ⴊ	cut_n.wav
