trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFnew	t	269	14923	
2	1	2	FFnew	k	286	15949	
3	1	3	FFnew	l	331	16994	
4	1	4	FFnew	n	214	18088	
5	1	5	FFnew	p	199	19050	
6	1	6	FFnew	o	249	19995	
7	1	7	FFnew	r	435	21006	
8	1	8	FFnew	q	213	22200	
9	1	9	FFnew	s	178	23161	
10	1	10	FFnew	m	366	24073	
11	1	1	FFtrained	E	331	28219	
