Scenario - 
Logfile written - 03/27/2021 11:29:47

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
GPL002	90	Picture	70	1378409	0	1	7129	1	0	7000	other	0
GPL002	91	Picture	40	1385704	0	1	2984	1	0	2860	other	0
GPL002	92	Picture	70	1388854	0	1	7129	1	0	7000	other	0
GPL002	93	Picture	40	1396149	0	1	2819	1	0	2690	other	0
GPL002	94	Picture	70	1399133	0	1	7129	1	0	7000	other	0
GPL002	95	Picture	40	1406428	0	1	2155	1	0	2140	other	0
GPL002	96	Picture	70	1408749	0	1	7129	1	0	7000	other	0
GPL002	97	Picture	40	1416044	0	1	2155	1	0	2130	other	0
GPL002	98	Picture	75	1418365	0	1	7129	1	0	7000	miss	0
GPL002	99	Picture	40	1425660	0	1	2155	1	0	1990	other	0
GPL002	100	Picture	70	1427981	0	1	7129	1	0	7000	other	0
GPL002	101	Picture	40	1435276	0	1	4476	1	0	4350	other	0
GPL002	102	Picture	70	1439918	0	1	7129	1	0	7000	other	0
GPL002	103	Picture	40	1447213	0	1	2653	1	0	2490	other	0
GPL002	104	Picture	70	1450032	0	1	7129	1	0	7000	other	0
GPL002	105	Picture	40	1457327	0	1	1824	1	0	1780	other	0
GPL002	106	Picture	70	1459316	0	1	7129	1	0	7000	other	0
GPL002	107	Picture	40	1466611	0	1	3813	1	0	3660	other	0
GPL002	108	Picture	50	1470590	0	1	90192	1	0	next	other	0
GPL002	109	Picture	60	1560782	0	1	7129	1	0	7000	other	0
GPL002	110	Picture	40	1568077	0	1	1824	1	0	1780	other	0
GPL002	111	Picture	60	1570066	0	1	7129	1	0	7000	other	0
GPL002	112	Picture	40	1577361	0	1	4476	1	0	4350	other	0
GPL002	113	Picture	60	1582003	0	1	7129	1	0	7000	other	0
GPL002	114	Picture	40	1589298	0	1	3482	1	0	3310	other	0
GPL002	115	Picture	65	1592946	0	1	7129	1	0	7000	miss	0
GPL002	116	Picture	40	1600241	0	1	2155	1	0	2130	other	0
GPL002	117	Picture	60	1602562	0	1	7129	1	0	7000	other	0
GPL002	118	Picture	40	1609857	0	1	3813	1	0	3660	other	0
GPL002	119	Picture	60	1613836	0	1	7129	1	0	7000	other	0
GPL002	120	Picture	40	1621131	0	1	2653	1	0	2490	other	0
GPL002	121	Picture	60	1623949	0	1	7129	1	0	7000	other	0
GPL002	122	Picture	40	1631244	0	1	2984	1	0	2860	other	0
GPL002	123	Picture	60	1634394	0	1	7129	1	0	7000	other	0
GPL002	124	Picture	40	1641689	0	1	2155	1	0	2140	other	0
GPL002	125	Picture	60	1644010	0	1	7129	1	0	7000	other	0
GPL002	126	Picture	40	1651305	0	1	2819	1	0	2690	other	0
GPL002	127	Picture	60	1654290	0	1	7129	1	0	7000	other	0
GPL002	128	Picture	40	1661584	0	1	2155	1	0	1990	other	0
GPL002	129	Picture	50	1663906	0	1	70131	1	0	next	other	0
GPL002	130	Picture	90	1734036	0	1	7129	1	0	7000	other	0
GPL002	131	Picture	40	1741331	0	1	2984	1	0	2860	other	0
GPL002	132	Picture	90	1744481	0	1	7129	1	0	7000	other	0
GPL002	133	Picture	40	1751776	0	1	4476	1	0	4350	other	0
GPL002	134	Picture	90	1756418	0	1	7129	1	0	7000	other	0
GPL002	135	Picture	40	1763713	0	1	2653	1	0	2490	other	0
GPL002	136	Picture	95	1766532	0	1	7129	1	0	7000	miss	0
GPL002	137	Picture	40	1773827	0	1	2155	1	0	2140	other	0
GPL002	138	Picture	90	1776148	0	1	7129	1	0	7000	other	0
GPL002	139	Picture	40	1783443	0	1	1824	1	0	1780	other	0
GPL002	140	Picture	90	1785432	0	1	7129	1	0	7000	other	0
GPL002	141	Picture	40	1792727	0	1	3482	1	0	3310	other	0
GPL002	142	Picture	95	1796375	0	1	7129	1	0	7000	miss	0
GPL002	143	Picture	40	1803670	0	1	2818	1	0	2690	other	0
GPL002	144	Picture	90	1806654	0	1	7129	1	0	7000	other	0
GPL002	145	Picture	40	1813949	0	1	3813	1	0	3660	other	0
GPL002	146	Picture	90	1817928	0	1	7129	1	0	7000	other	0
GPL002	147	Picture	40	1825223	0	1	2155	1	0	2130	other	0
GPL002	148	Picture	90	1827544	0	1	7129	1	0	7000	other	0
GPL002	149	Picture	40	1834839	0	1	2155	1	0	1990	other	0
GPL002	150	Picture	50	1837160	0	1	50070	1	0	next	other	0
GPL002	151	Picture	80	1887230	0	1	7129	1	0	7000	other	0
GPL002	152	Picture	40	1894525	0	1	2155	1	0	1990	other	0
GPL002	153	Picture	80	1896846	0	1	7129	1	0	7000	other	0
GPL002	154	Picture	40	1904141	0	1	3813	1	0	3660	other	0
GPL002	155	Picture	80	1908120	0	1	7129	1	0	7000	other	0
GPL002	156	Picture	40	1915415	0	1	4476	1	0	4350	other	0
GPL002	157	Picture	80	1920057	0	1	7129	1	0	7000	other	0
GPL002	158	Picture	40	1927352	0	1	2653	1	0	2490	other	0
GPL002	159	Picture	80	1930170	0	1	7129	1	0	7000	other	0
GPL002	160	Picture	40	1937465	0	1	1824	1	0	1780	other	0
GPL002	161	Picture	80	1939455	0	1	7129	1	0	7000	other	0
GPL002	162	Picture	40	1946750	0	1	2155	1	0	2130	other	0
GPL002	163	Picture	80	1949071	0	1	7129	1	0	7000	other	0
GPL002	164	Picture	40	1956366	0	1	3482	1	0	3310	other	0
GPL002	165	Picture	80	1960013	0	1	7129	1	0	7000	other	0
GPL002	166	Picture	40	1967308	0	1	2818	1	0	2690	other	0
GPL002	167	Picture	80	1970292	0	1	7129	1	0	7000	other	0
GPL002	168	Picture	40	1977587	0	1	2155	1	0	2140	other	0
GPL002	169	Picture	80	1979908	0	1	7129	1	0	7000	other	0
GPL002	170	Picture	40	1987203	0	1	2984	1	0	2860	other	0
GPL002	171	Picture	50	1990353	0	1	30174	1	0	next	other	0
GPL002	172	Picture	70	2020528	0	1	7129	1	0	7000	other	0
GPL002	173	Picture	40	2027823	0	1	3482	1	0	3310	other	0
GPL002	174	Picture	70	2031470	0	1	7129	1	0	7000	other	0
GPL002	175	Picture	40	2038765	0	1	1824	1	0	1780	other	0
GPL002	176	Picture	70	2040755	0	1	7129	1	0	7000	other	0
GPL002	177	Picture	40	2048050	0	1	4476	1	0	4350	other	0
GPL002	178	Picture	70	2052692	0	1	7129	1	0	7000	other	0
GPL002	179	Picture	40	2059987	0	1	3813	1	0	3660	other	0
GPL002	180	Picture	70	2063966	0	1	7129	1	0	7000	other	0
GPL002	181	Picture	40	2071261	0	1	2819	1	0	2690	other	0
GPL002	182	Picture	75	2074245	0	1	7129	1	0	7000	miss	0
GPL002	183	Picture	40	2081540	0	1	2155	1	0	2130	other	0
