trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
157	4	7	FFfamiliar	j	249	254782	
158	4	8	FFfamiliar	h	213	255793	
159	4	9	FFfamiliar	c	435	256755	
160	4	10	FFfamiliar	d	366	257949	
161	5	1	FFnew	t	286	266095	
162	5	2	FFnew	l	199	267134	
163	5	3	FFnew	q	366	268095	
164	5	4	FFnew	u	178	269223	
165	5	5	FFnew	j	214	270151	
166	5	6	FFnew	FFnewTarget	331	271113	
167	5	7	FFnew	h	269	272207	
168	5	8	FFnew	f	249	273235	
169	5	9	FFnew	t	435	274246	
170	5	10	FFnew	c	213	275440	
171	5	1	letter	m	269	285420	
172	5	2	letter	a	214	286449	
173	5	3	letter	p	249	287410	
174	5	4	letter	e	286	288421	
175	5	5	letter	LetterTarget	178	289466	
176	5	6	letter	b	199	290394	
177	5	7	letter	LetterTarget	213	291356	
178	5	8	letter	r	366	292318	
179	5	9	letter	z	331	293445	
180	5	10	letter	t	435	294539	
181	5	1	FFtrained	R	286	298751	
182	5	2	FFtrained	3	214	299795	
183	5	3	FFtrained	V	178	300757	
184	5	4	FFtrained	N	435	301668	
185	5	5	FFtrained	I	249	302862	
186	5	6	FFtrained	A	213	303874	
187	5	7	FFtrained	:	331	304835	
188	5	8	FFtrained	0	366	305929	
189	5	9	FFtrained	E	199	307057	
190	5	10	FFtrained	4	269	308018	
191	5	1	FFfamiliar	f	286	314065	
192	5	2	FFfamiliar	a	214	315098	
193	5	3	FFfamiliar	e	249	316059	
194	5	4	FFfamiliar	g	213	317071	
195	5	5	FFfamiliar	c	199	318032	
196	5	6	FFfamiliar	j	269	318994	
197	5	7	FFfamiliar	i	331	320022	
198	5	8	FFfamiliar	b	178	321116	
199	5	9	FFfamiliar	d	366	322044	
200	5	10	FFfamiliar	FFfamiliarTarget	435	323172	
201	6	1	FFnew	t	286	331384	
202	6	2	FFnew	h	214	332423	
203	6	3	FFnew	FFnewTarget	269	333385	
204	6	4	FFnew	p	435	334396	
205	6	5	FFnew	l	366	335590	
206	6	6	FFnew	j	199	336717	
207	6	7	FFnew	c	249	337679	
208	6	8	FFnew	t	178	338690	
209	6	9	FFnew	FFnewTarget	213	339619	
210	6	10	FFnew	q	331	340580	
211	6	1	letter	p	331	348693	
212	6	2	letter	e	269	349782	
213	6	3	letter	g	366	350810	
214	6	4	letter	m	249	351937	
215	6	5	letter	b	435	352948	
216	6	6	letter	u	214	354142	
217	6	7	letter	t	213	355104	
218	6	8	letter	a	178	356065	
219	6	9	letter	z	286	356994	
220	6	10	letter	r	199	358038	
221	6	1	FFtrained	3	214	364018	
222	6	2	FFtrained	A	366	364968	
223	6	3	FFtrained	V	286	366079	
224	6	4	FFtrained	N	269	367124	
225	6	5	FFtrained	R	249	368152	
226	6	6	FFtrained	0	331	369163	
227	6	7	FFtrained	FFtrainedTarget	199	370257	
228	6	8	FFtrained	4	213	371219	
229	6	9	FFtrained	E	178	372180	
230	6	10	FFtrained	:	435	373109	
231	6	1	FFfamiliar	c	331	383321	
232	6	2	FFfamiliar	f	178	384416	
233	6	3	FFfamiliar	e	286	385344	
