block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
2	1	3_4	4	2	2139	1	2925	1670	0_I_switched	u_short_2_1.wav	66818	68957	71029
2	2	3_8	3	0	0	2	2350	1066	I_±	w_2_2_loudCheck.wav	75397	0	78990
2	3	5_7	5	2	1029	0	3581	2619	:_°	r_2_1.wav	84590	85619	89746
2	4	6_5	6	0	0	2	2841	1855	1_:	ach_2_1.wav	94612	0	98990
2	5	2_8	2	1	1126	1	1991	1509	E_±	z_2_2.wav	102998	104124	107025
2	6	7_5	5	1	815	0	2182	2035	:_°_switched	r_2_1.wav	111236	112051	115799
2	7	1_8	1	1	978	1	3066	2754	A_±	k_2_1_loudCheck.wav	120887	121865	126173
2	8	1_5	5	2	1727	1	2448	2155	:_A_switched	r_2_1.wav	130645	132372	135347
2	9	4_6	6	1	1944	0	1852	1795	1_0_switched	ach_2_1.wav	139218	141162	143536
2	10	6_1	1	2	948	1	2334	1574	A_1_switched	k_2_1_loudCheck.wav	147897	148845	151998
2	11	3_5	3	0	0	2	3740	1465	I_:	w_2_2_loudCheck.wav	157769	0	161762
2	12	4_5	5	1	1444	0	2466	2324	:_0_switched	r_2_1.wav	166251	167695	171103
2	13	1_7	1	1	1073	1	3387	2173	A_°	k_2_1_loudCheck.wav	176508	177581	181211
2	14	4_6	4	1	1079	1	3200	2422	0_1	u_short_2_1.wav	186429	187508	191384
2	15	4_3	3	2	1452	1	2632	1996	I_0_switched	w_2_2_loudCheck.wav	196037	197489	200563
2	16	1_2	2	2	1150	1	2911	1105	E_A_switched	z_2_2.wav	205502	206652	209126
2	17	5_3	3	2	1535	1	2786	1796	I_:_switched	w_2_2_loudCheck.wav	213942	215477	218283
2	18	5_2	5	2	2239	0	2458	2582	:_E	r_2_1.wav	222767	225006	227869
2	19	6_2	2	1	1455	0	2670	2898	E_1_switched	z_2_2.wav	232567	234022	237991
2	20	8_3	3	2	1888	1	1889	2602	I_±_switched	w_2_2_loudCheck.wav	241911	243799	247032
2	21	1_4	4	2	1438	1	2195	2131	0_A_switched	u_short_2_1.wav	251252	252690	255932
2	22	7_3	3	0	0	2	1615	1656	I_°_switched	w_2_2_loudCheck.wav	259574	0	263754
2	23	2_1	1	2	769	1	2720	1395	A_E_switched	k_2_1_loudCheck.wav	268490	269259	272428
2	24	5_3	5	1	1479	1	2671	1628	:_I	r_2_1.wav	277124	278603	281277
2	25	3_2	3	1	1553	1	2885	2341	I_E	w_2_2_loudCheck.wav	286189	287742	291059
2	26	6_1	6	1	1835	1	2010	2576	1_A	ach_2_1.wav	295087	296922	300195
2	27	2_4	4	2	1040	1	2035	1599	0_E_switched	u_short_2_1.wav	304248	305288	308371
2	28	6_4	6	1	1176	1	2134	1592	1_0	ach_2_1.wav	312527	313703	316644
2	29	2_6	2	1	1532	1	1760	2130	E_1	z_2_2.wav	320434	321966	325095
2	30	1_8	1	1	756	1	3315	2189	A_±	k_2_1_loudCheck.wav	330437	331193	335144
2	31	3_4	4	2	1266	1	2881	2151	0_I_switched	u_short_2_1.wav	340044	341310	344728
2	32	1_4	1	1	716	1	2221	1289	A_0	k_2_1_loudCheck.wav	348973	349689	352784
2	33	6_5	6	2	2074	0	2986	2041	1_:	ach_2_1.wav	357801	359875	362370
2	34	5_7	5	1	1274	1	2954	1582	:_°	r_2_1.wav	367340	368614	371449
2	35	6_1	6	1	984	1	1738	1718	1_A	ach_2_1.wav	375210	376194	379447
2	36	2_3	2	2	1628	0	2219	2123	E_I	z_2_2.wav	383687	385315	388351
2	37	5_1	1	2	839	1	2335	899	A_:_switched	k_2_1_loudCheck.wav	392704	393543	396128
2	38	4_1	4	1	893	1	2871	1146	0_A	u_short_2_1.wav	401018	401911	404690
2	39	1_3	1	1	731	1	3114	2924	A_I	k_2_1_loudCheck.wav	409827	410558	415268
2	40	4_5	5	2	1103	1	2836	2244	:_0_switched	r_2_1.wav	420126	421229	424898
2	41	8_6	6	2	1041	1	2639	1320	1_±_switched	ach_2_1.wav	429568	430609	433411
2	42	2_4	4	2	843	1	2269	1380	0_E_switched	u_short_2_1.wav	437696	438539	441601
2	43	3_2	2	2	932	1	1927	1639	E_I_switched	z_2_2.wav	445551	446483	449722
2	44	2_6	6	2	868	1	2503	1654	1_E_switched	ach_2_1.wav	454241	455109	458420
2	45	4_6	4	1	862	1	2364	2220	0_1	u_short_2_1.wav	462802	463664	467552
2	46	7_2	2	2	1618	1	2678	1453	E_°_switched	z_2_2.wav	472251	473869	476239
2	47	3_5	3	1	1759	1	2532	1779	I_:	w_2_2_loudCheck.wav	480789	482548	485097
2	48	6_2	2	2	1073	1	2586	2403	E_1_switched	z_2_2.wav	489710	490783	494656
