block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	6_3	3	1	1637	0	3581	1656	V_5_switched	t_2_1_loudCheck.wav	22114	23751	26291
1	2	6_8	6	2	2073	0	2219	1654	5_¯	in_short_2_1_loudCheck.wav	30526	32599	34721
1	3	2_1	2	1	2204	1	2010	1574	R_N	e_short_2_2.wav	38749	40953	42855
1	4	1_7	1	2	1358	0	3315	2151	N_®	a_short_2_2.wav	48200	49558	52886
1	5	5_4	5	2	1344	0	2221	1628	4_3	b_2_1.wav	57130	58474	61281
1	6	1_2	2	2	2176	1	3200	2189	R_N_switched	e_short_2_2.wav	66508	68684	71229
1	7	5_2	5	1	1934	1	2466	1453	4_R	b_2_1.wav	75714	77648	79696
1	8	4_6	4	1	1207	1	2335	2924	3_5	l_2_2_loudCheck.wav	84048	85255	89498
1	9	1_5	1	1	1426	1	2364	2602	N_4	a_short_2_2.wav	93884	95310	99016
1	10	3_4	3	1	1561	1	1615	1289	V_3	t_2_1_loudCheck.wav	102656	104217	106470
1	11	5_2	5	2	2039	0	2786	2898	4_R	b_2_1.wav	111286	113325	116712
1	12	4_1	4	0	0	2	2720	1996	3_N	l_2_2_loudCheck.wav	121463	0	125985
1	13	2_8	2	1	1542	1	3066	2619	R_¯	e_short_2_2.wav	131079	132621	136230
1	14	4_6	4	1	1519	1	3387	2324	3_5	l_2_2_loudCheck.wav	141642	143161	146495
1	15	3_2	3	2	1703	0	2632	1855	V_R	t_2_1_loudCheck.wav	151146	152849	155531
1	16	6_4	4	2	1015	1	2134	2341	3_5_switched	l_2_2_loudCheck.wav	159683	160698	164549
1	17	4_6	6	2	1533	1	2954	1592	5_3_switched	in_short_2_1_loudCheck.wav	169521	171054	173640
1	18	5_3	3	2	1704	1	2182	1779	V_4_switched	t_2_1_loudCheck.wav	177851	179555	182158
1	19	8_1	1	1	1126	0	2881	2220	N_¯_switched	a_short_2_2.wav	187066	188192	191819
1	20	6_7	6	2	2147	0	2671	1639	5_®	in_short_2_1_loudCheck.wav	196511	198658	200675
1	21	3_1	1	2	1065	1	2532	2754	N_V_switched	a_short_2_2.wav	205223	206288	210524
1	22	3_4	3	1	1203	1	2350	2576	V_3	t_2_1_loudCheck.wav	214898	216101	220001
1	23	5_8	5	2	1895	0	2885	1599	4_¯	b_2_1.wav	224904	226799	229032
1	24	3_4	4	2	1191	1	2670	2130	3_V_switched	l_2_2_loudCheck.wav	233724	234915	238380
1	25	4_6	6	2	1642	1	2586	2403	5_3_switched	in_short_2_1_loudCheck.wav	242994	244636	247923
1	26	5_1	1	2	1760	1	1927	1718	N_4_switched	a_short_2_2.wav	251873	253633	256122
1	27	2_6	6	2	1181	1	3114	1670	5_R_switched	in_short_2_1_loudCheck.wav	261257	262438	265445
1	28	3_1	1	2	1151	1	2841	1320	N_V_switched	a_short_2_2.wav	270304	271455	274147
1	29	5_4	4	2	1390	1	2458	2131	3_4_switched	l_2_2_loudCheck.wav	278621	280011	283272
1	30	1_3	1	1	977	1	2448	2173	N_V	a_short_2_2.wav	287747	288724	292450
1	31	7_6	6	2	1234	1	1852	2041	5_®_switched	in_short_2_1_loudCheck.wav	296320	297554	300884
1	32	2_5	5	1	1142	0	1991	1380	4_R_switched	b_2_1.wav	304891	306033	308789
1	33	7_3	3	1	1704	0	2035	1465	V_®_switched	t_2_1_loudCheck.wav	312847	314551	316836
1	34	6_4	4	2	971	1	3740	2155	3_5_switched	l_2_2_loudCheck.wav	322598	323569	327282
1	35	3_6	6	2	1323	1	2986	1066	5_V_switched	in_short_2_1_loudCheck.wav	332287	333610	335899
1	36	5_2	2	2	1918	1	2195	2123	R_4_switched	e_short_2_2.wav	340113	342031	344767
1	37	1_5	5	2	1156	1	1738	1582	4_N_switched	b_2_1.wav	348523	349679	352624
1	38	6_3	3	2	1177	1	2925	2582	V_5_switched	t_2_1_loudCheck.wav	357572	358749	362676
1	39	2_7	2	1	1176	1	2639	1795	R_®	e_short_2_2.wav	367344	368520	371662
1	40	3_1	3	1	1335	1	2911	1146	V_N	t_2_1_loudCheck.wav	376601	377936	380266
1	41	2_5	2	1	1021	1	2334	899	R_4	e_short_2_2.wav	384623	385644	388049
1	42	5_1	5	1	1948	1	1760	2035	4_N	b_2_1.wav	391827	393775	396393
1	43	8_2	2	2	1061	1	2836	1395	R_¯_switched	e_short_2_2.wav	401251	402312	405173
1	44	7_1	1	2	1222	1	2269	2244	N_®_switched	a_short_2_2.wav	409468	410690	414253
1	45	5_4	5	1	1174	1	2503	1105	4_3	b_2_1.wav	418787	419961	422417
1	46	2_3	2	1	1456	1	2871	2422	R_V	e_short_2_2.wav	427319	428775	432267
1	47	8_4	4	2	1030	1	1889	1509	3_¯_switched	l_2_2_loudCheck.wav	436176	437206	440205
1	48	6_2	6	1	1690	1	2678	1796	5_R	in_short_2_1_loudCheck.wav	444911	446601	449225
