block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
2	1	4_3	4	1	1754	1	2885	2576	0_I	u_short_2_1.wav	64570	66324	69675
2	2	8_3	3	1	1833	0	2670	2173	I_±_switched	w_2_2_loudCheck.wav	74374	76207	79082
2	3	5_7	5	2	2472	0	2458	2619	:_°	r_2_1.wav	83571	86043	88720
2	4	6_5	6	0	0	2	2195	2924	1_:	ach_2_1.wav	92951	0	98401
2	5	2_8	2	2	1212	0	2182	1395	E_±	z_2_2.wav	102615	103827	106565
2	6	5_7	5	1	1367	1	2364	2898	:_°	r_2_1.wav	110955	112322	116377
2	7	1_8	1	2	1411	0	3387	2422	A_±	k_2_1_loudCheck.wav	121788	123199	126745
2	8	1_5	5	1	1589	0	1738	1105	:_A_switched	r_2_1.wav	130516	132105	134170
2	9	6_4	6	1	1420	1	1760	1654	1_0	ach_2_1.wav	137962	139382	142143
2	10	6_1	1	1	1320	0	2678	2131	A_1_switched	k_2_1_loudCheck.wav	146854	148174	151512
2	11	5_3	3	2	1766	1	2335	1670	I_:_switched	w_2_2_loudCheck.wav	155871	157637	160077
2	12	4_5	5	1	1267	0	2448	1453	:_0_switched	r_2_1.wav	164559	165826	168535
2	13	7_1	1	1	1871	0	2881	2341	A_°_switched	k_2_1_loudCheck.wav	173450	175321	178315
2	14	4_6	4	1	1001	1	2221	2130	0_1	u_short_2_1.wav	182567	183568	187230
2	15	4_3	3	2	1061	1	2986	1795	I_0_switched	w_2_2_loudCheck.wav	192241	193302	196571
2	16	2_1	2	1	1686	1	2786	2041	E_A	z_2_2.wav	201383	203069	205977
2	17	5_3	3	2	1195	1	1852	1996	I_:_switched	w_2_2_loudCheck.wav	209859	211054	214390
2	18	2_5	5	2	1750	1	2954	1779	:_E_switched	r_2_1.wav	219369	221119	223683
2	19	2_6	2	1	1438	1	2841	1582	E_1	z_2_2.wav	228549	229987	232661
2	20	3_8	3	1	2009	1	2586	2035	I_±	w_2_2_loudCheck.wav	237269	239278	241840
2	21	1_4	4	2	1010	1	2334	2123	0_A_switched	u_short_2_1.wav	246210	247220	250870
2	22	3_7	3	1	1349	1	2632	1855	I_°	w_2_2_loudCheck.wav	255534	256883	259928
2	23	1_2	1	2	1870	0	2911	2582	A_E	k_2_1_loudCheck.wav	264872	266742	269981
2	24	3_5	5	2	1663	1	2035	1599	:_I_switched	r_2_1.wav	274039	275702	278174
2	25	3_2	3	1	1375	1	1615	1574	I_E	w_2_2_loudCheck.wav	281827	283202	285957
2	26	1_6	6	2	1060	1	2503	2602	1_A_switched	ach_2_1.wav	290490	291550	295627
2	27	4_2	4	1	781	1	1991	1066	0_E	u_short_2_1.wav	299654	300435	303250
2	28	4_6	6	2	1057	1	1889	2151	1_0_switched	ach_2_1.wav	307176	308233	311859
2	29	2_6	2	2	1919	0	3114	1380	E_1	z_2_2.wav	317010	318929	320914
2	30	8_1	1	2	1332	1	2532	1639	A_±_switched	k_2_1_loudCheck.wav	325470	326802	329632
2	31	4_3	4	1	742	1	2350	1592	0_I	u_short_2_1.wav	334014	334756	338143
2	32	4_1	1	2	914	1	2925	2324	A_0_switched	k_2_1_loudCheck.wav	343097	344011	347951
2	33	6_5	6	0	0	2	2720	1656	1_:	ach_2_1.wav	352702	0	356893
2	34	7_5	5	2	1026	1	2134	2244	:_°_switched	r_2_1.wav	361058	362084	365839
2	35	6_1	6	1	1318	1	2871	2189	1_A	ach_2_1.wav	370738	372056	375460
2	36	3_2	2	2	1287	1	2010	2155	E_I_switched	z_2_2.wav	379503	380790	384202
2	37	5_1	1	2	1479	1	2836	899	A_:_switched	k_2_1_loudCheck.wav	389071	390550	392505
2	38	4_1	4	1	857	1	2671	1465	0_A	u_short_2_1.wav	397214	398071	401213
2	39	1_3	1	1	941	1	3066	1146	A_I	k_2_1_loudCheck.wav	406301	407242	409986
2	40	4_5	5	2	990	1	2466	1320	:_0_switched	r_2_1.wav	414477	415467	418335
2	41	6_8	6	1	1443	1	3581	1718	1_±	ach_2_1.wav	423950	425393	428193
2	42	2_4	4	2	926	1	2219	2403	0_E_switched	u_short_2_1.wav	432448	433374	437403
2	43	3_2	2	2	1160	1	3315	1796	E_I_switched	z_2_2.wav	442753	443913	447073
2	44	2_6	6	2	1143	1	2269	1628	1_E_switched	ach_2_1.wav	451367	452510	455547
2	45	4_6	4	1	717	1	2639	1509	0_1	u_short_2_1.wav	460212	460929	464270
2	46	7_2	2	2	947	1	3740	2220	E_°_switched	z_2_2.wav	470038	470985	474791
2	47	5_3	3	2	1729	1	3200	2754	I_:_switched	w_2_2_loudCheck.wav	480025	481754	485318
2	48	2_6	2	1	1183	1	1927	1289	E_1	z_2_2.wav	489280	490463	493112
